"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"03-09-2024 00:00","1709942403","0.51","0.49","0.0055"
"03-10-2024 00:00","1710028802","0.505","0.485","0.005"
"03-11-2024 00:00","1710115202","0.505","0.485","0.005"
"03-12-2024 00:00","1710201602","0.505","0.485","0.005"
"03-13-2024 00:00","1710288003","0.505","0.485","0.005"
"03-14-2024 00:00","1710374403","0.505","0.485","0.005"
"03-15-2024 00:00","1710460803","0.505","0.485","0.005"
"03-16-2024 00:00","1710547202","0.505","0.485","0.0055"
"03-17-2024 00:00","1710633603","0.505","0.485","0.0055"
"03-18-2024 00:00","1710720003","0.505","0.485","0.0055"
"03-19-2024 00:00","1710806402","0.505","0.485","0.0055"
"03-20-2024 00:00","1710892803","0.505","0.485","0.0055"
"03-21-2024 00:00","1710979203","0.505","0.485","0.0055"
"03-22-2024 00:00","1711065602","0.505","0.485","0.0055"
"03-23-2024 00:00","1711152003","0.505","0.485","0.0055"
"03-24-2024 00:00","1711238403","0.505","0.485","0.006"
"03-25-2024 00:00","1711324803","0.505","0.485","0.006"
"03-26-2024 00:00","1711411202","0.505","0.485","0.006"
"03-27-2024 00:00","1711497603","0.505","0.485","0.006"
"03-28-2024 00:00","1711584003","0.505","0.485","0.006"
"03-29-2024 00:00","1711670402","0.505","0.485","0.0065"
"03-30-2024 00:00","1711756802","0.505","0.485","0.006"
"03-31-2024 00:00","1711843203","0.505","0.485","0.006"
"04-01-2024 00:00","1711929602","0.505","0.485","0.006"
"04-02-2024 00:00","1712016003","0.505","0.485","0.006"
"04-03-2024 00:00","1712102403","0.505","0.485","0.006"
"04-04-2024 00:00","1712188803","0.505","0.485","0.006"
"04-05-2024 00:00","1712275203","0.505","0.485","0.006"
"04-06-2024 00:00","1712361603","0.505","0.485","0.006"
"04-07-2024 00:00","1712448002","0.505","0.485","0.0115"
"04-08-2024 00:00","1712534403","0.525","0.465","0.0085"
"04-09-2024 00:00","1712620803","0.525","0.465","0.0105"
"04-10-2024 00:00","1712707203","0.525","0.465","0.0105"
"04-11-2024 00:00","1712793603","0.56","0.425","0.01"
"04-12-2024 00:00","1712880003","0.56","0.425","0.01"
"04-13-2024 00:00","1712966402","0.56","0.43","0.01"
"04-14-2024 00:00","1713052803","0.565","0.43","0.01"
"04-15-2024 00:00","1713139203","0.565","0.43","0.01"
"04-16-2024 00:00","1713225603","0.56","0.435","0.01"
"04-17-2024 00:00","1713312003","0.56","0.43","0.01"
"04-18-2024 00:00","1713398403","0.56","0.43","0.01"
"04-19-2024 00:00","1713484803","0.56","0.435","0.01"
"04-20-2024 00:00","1713571202","0.56","0.435","0.01"
"04-21-2024 00:00","1713657603","0.56","0.435","0.0105"
"04-22-2024 00:00","1713744003","0.56","0.435","0.0105"
