"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"03-20-2024 00:00","1710892803","0.83","0.165","0.0055"
"03-21-2024 00:00","1710979203","0.83","0.165","0.005"
"03-22-2024 00:00","1711065602","0.83","0.165","0.005"
"03-23-2024 00:00","1711152003","0.83","0.165","0.005"
"03-24-2024 00:00","1711238403","0.845","0.155","0.006"
"03-25-2024 00:00","1711324803","0.845","0.155","0.006"
"03-26-2024 00:00","1711411202","0.845","0.155","0.006"
"03-27-2024 00:00","1711497603","0.845","0.155","0.0065"
"03-28-2024 00:00","1711584003","0.845","0.155","0.0065"
"03-29-2024 00:00","1711670402","0.845","0.155","0.008"
"03-30-2024 00:00","1711756802","0.845","0.155","0.0075"
"03-31-2024 00:00","1711843203","0.845","0.155","0.0075"
"04-01-2024 00:00","1711929602","0.845","0.155","0.0075"
"04-02-2024 00:00","1712016003","0.845","0.155","0.007"
"04-03-2024 00:00","1712102403","0.845","0.155","0.007"
"04-04-2024 00:00","1712188803","0.845","0.155","0.007"
"04-05-2024 00:00","1712275203","0.845","0.145","0.006"
"04-06-2024 00:00","1712361603","0.845","0.15","0.006"
"04-07-2024 00:00","1712448002","0.845","0.145","0.007"
"04-08-2024 00:00","1712534403","0.845","0.145","0.01"
"04-09-2024 00:00","1712620803","0.845","0.145","0.01"
"04-10-2024 00:00","1712707203","0.845","0.145","0.01"
"04-11-2024 00:00","1712793603","0.845","0.145","0.01"
"04-12-2024 00:00","1712880003","0.835","0.145","0.01"
"04-13-2024 00:00","1712966402","0.835","0.145","0.01"
"04-14-2024 00:00","1713052803","0.835","0.145","0.01"
"04-15-2024 00:00","1713139203","0.835","0.145","0.01"
"04-16-2024 00:00","1713225603","0.835","0.145","0.01"
"04-17-2024 00:00","1713312003","0.835","0.145","0.01"
"04-18-2024 00:00","1713398403","0.835","0.145","0.01"
"04-19-2024 00:00","1713484803","0.835","0.145","0.008"
"04-20-2024 00:00","1713571202","0.835","0.145","0.0075"
"04-21-2024 00:00","1713657603","0.835","0.145","0.0075"
"04-22-2024 00:00","1713744003","0.835","0.145","0.0075"
"04-23-2024 00:00","1713830402","0.835","0.145","0.0075"
"04-24-2024 00:00","1713916803","0.835","0.145","0.0075"
"04-25-2024 00:00","1714003203","0.835","0.145","0.0075"
"04-26-2024 00:00","1714089602","0.835","0.145","0.0075"
"04-27-2024 00:00","1714176003","0.835","0.145","0.0075"
"04-28-2024 00:00","1714262403","0.835","0.145","0.01"
"04-29-2024 00:00","1714348803","0.835","0.145","0.01"
"04-30-2024 00:00","1714435204","0.835","0.145","0.01"
"05-01-2024 00:00","1714521603","0.835","0.145","0.01"
"05-02-2024 00:00","1714608003","0.835","0.145","0.01"
"05-03-2024 00:00","1714694403","0.835","0.145","0.01"
"05-04-2024 00:00","1714780803","0.835","0.145","0.01"
"05-05-2024 00:00","1714867203","0.835","0.145","0.01"
"05-06-2024 00:00","1714953602","0.835","0.145","0.01"
"05-07-2024 00:00","1715040002","0.835","0.145","0.01"
"05-08-2024 00:00","1715126403","0.835","0.145","0.01"
"05-09-2024 00:00","1715212803","0.835","0.145","0.0095"
"05-10-2024 00:00","1715299203","0.835","0.145","0.01"
"05-11-2024 00:00","1715385604","0.835","0.145","0.0095"
"05-12-2024 00:00","1715472003","0.835","0.145","0.009"
"05-13-2024 00:00","1715558404","0.835","0.135","0.009"
"05-14-2024 00:00","1715644803","0.825","0.135","0.0105"
"05-15-2024 00:00","1715731204","0.825","0.135","0.01"
"05-16-2024 00:00","1715817604","0.825","0.155","0.01"
"05-17-2024 00:00","1715904003","0.825","0.155","0.01"
"05-18-2024 00:00","1715990403","0.825","0.155","0.01"
"05-19-2024 00:00","1716076803","0.825","0.155","0.014"
"05-20-2024 00:00","1716163203","0.825","0.155","0.014"
"05-21-2024 00:00","1716249603","0.83","0.155","0.014"
"05-22-2024 00:00","1716336003","0.83","0.155","0.014"
"05-23-2024 00:00","1716422403","0.83","0.155","0.014"
"05-24-2024 00:00","1716508803","0.825","0.175","0.009"
"05-25-2024 00:00","1716595203","0.765","0.22","0.0095"
"05-26-2024 00:00","1716681603","0.765","0.22","0.0095"
"05-27-2024 00:00","1716768003","0.765","0.22","0.0095"
"05-28-2024 00:00","1716854403","0.755","0.245","0.0095"
"05-29-2024 00:00","1716940804","0.755","0.245","0.0095"
"05-30-2024 00:00","1717027203","0.76","0.235","0.0095"
"05-31-2024 00:00","1717113603","0.76","0.235","0.0095"
"06-01-2024 00:00","1717200003","0.76","0.235","0.0095"
