"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-08-2024 00:00","1709856002","0.5","0.5","0.5"
"03-09-2024 00:00","1709942403","0.48","0.52","0.0055"
"03-10-2024 00:00","1710028802","0.485","0.515","0.0055"
"03-11-2024 00:00","1710115202","0.485","0.515","0.0055"
"03-12-2024 00:00","1710201602","0.485","0.515","0.0055"
"03-13-2024 00:00","1710288003","0.485","0.515","0.0055"
"03-14-2024 00:00","1710374403","0.485","0.515","0.0055"
"03-15-2024 00:00","1710460803","0.485","0.515","0.0055"
"03-16-2024 00:00","1710547202","0.485","0.515","0.0055"
"03-17-2024 00:00","1710633603","0.485","0.515","0.0055"
"03-18-2024 00:00","1710720003","0.485","0.515","0.0055"
"03-19-2024 00:00","1710806402","0.495","0.515","0.005"
"03-20-2024 00:00","1710892803","0.485","0.515","0.005"
"03-21-2024 00:00","1710979203","0.485","0.515","0.005"
"03-22-2024 00:00","1711065602","0.485","0.515","0.005"
"03-23-2024 00:00","1711152003","0.495","0.515","0.0045"
"03-24-2024 00:00","1711238403","0.485","0.505","0.004"
"03-25-2024 00:00","1711324803","0.495","0.505","0.002"
"03-26-2024 00:00","1711411202","0.495","0.505","0.0035"
"03-27-2024 00:00","1711497603","0.495","0.505","0.0035"
"03-28-2024 00:00","1711584003","0.495","0.505","0.004"
"03-29-2024 00:00","1711670402","0.495","0.505","0.004"
"03-30-2024 00:00","1711756802","0.495","0.505","0.004"
"03-31-2024 00:00","1711843203","0.495","0.505","0.0045"
"04-01-2024 00:00","1711929602","0.495","0.505","0.0045"
"04-02-2024 00:00","1712016003","0.495","0.505","0.0065"
"04-03-2024 00:00","1712102403","0.495","0.505","0.0065"
"04-04-2024 00:00","1712188803","0.495","0.505","0.0065"
"04-05-2024 00:00","1712275203","0.495","0.505","0.0065"
"04-06-2024 00:00","1712361603","0.495","0.505","0.006"
"04-07-2024 00:00","1712448002","0.495","0.505","0.008"
"04-08-2024 00:00","1712534403","0.495","0.505","0.0075"
"04-09-2024 00:00","1712620803","0.475","0.515","0.01"
"04-10-2024 00:00","1712707203","0.475","0.515","0.01"
"04-11-2024 00:00","1712793603","0.475","0.525","0.0095"
"04-12-2024 00:00","1712880003","0.45","0.545","0.01"
"04-13-2024 00:00","1712966402","0.445","0.545","0.01"
"04-14-2024 00:00","1713052803","0.445","0.545","0.01"
"04-15-2024 00:00","1713139203","0.445","0.555","0.0095"
"04-16-2024 00:00","1713225603","0.41","0.59","0.0075"
"04-17-2024 00:00","1713312003","0.4","0.59","0.0075"
"04-18-2024 00:00","1713398403","0.4","0.575","0.0075"
"04-19-2024 00:00","1713484803","0.405","0.575","0.0065"
"04-20-2024 00:00","1713571202","0.405","0.575","0.0065"
"04-21-2024 00:00","1713657603","0.405","0.575","0.01"
"04-22-2024 00:00","1713744003","0.395","0.595","0.01"
"04-23-2024 00:00","1713830402","0.395","0.595","0.01"
"04-24-2024 00:00","1713916803","0.395","0.605","0.0115"
"04-25-2024 00:00","1714003203","0.395","0.605","0.0095"
"04-26-2024 00:00","1714089602","0.395","0.605","0.0095"
"04-27-2024 00:00","1714176003","0.395","0.605","0.009"
"04-28-2024 00:00","1714262403","0.395","0.605","0.01"
"04-29-2024 00:00","1714348803","0.395","0.605","0.01"
"04-30-2024 00:00","1714435204","0.395","0.605","0.01"
"05-01-2024 00:00","1714521603","0.395","0.605","0.01"
"05-02-2024 00:00","1714608003","0.46","0.54","0.0075"
"05-03-2024 00:00","1714694403","0.455","0.54","0.0075"
"05-04-2024 00:00","1714780803","0.46","0.54","0.0075"
"05-05-2024 00:00","1714867203","0.46","0.54","0.0075"
"05-06-2024 00:00","1714953602","0.44","0.525","0.007"
"05-07-2024 00:00","1715040002","0.47","0.5","0.007"
"05-08-2024 00:00","1715126403","0.47","0.505","0.0065"
"05-09-2024 00:00","1715212803","0.465","0.505","0.0065"
"05-10-2024 00:00","1715299203","0.475","0.5","0.0065"
"05-11-2024 00:00","1715385604","0.475","0.5","0.0065"
"05-12-2024 00:00","1715472003","0.475","0.5","0.0065"
"05-13-2024 00:00","1715558404","0.475","0.495","0.0065"
"05-14-2024 00:00","1715644803","0.56","0.44","0.0065"
"05-15-2024 00:00","1715731204","0.57","0.425","0.006"
"05-16-2024 00:00","1715817604","0.57","0.425","0.006"
"05-17-2024 00:00","1715904003","0.585","0.22","0.006"
"05-18-2024 00:00","1715990403","0.585","0.385","0.006"
"05-19-2024 00:00","1716076803","0.585","0.385","0.006"
"05-20-2024 00:00","1716163203","0.605","0.38","0.006"
"05-21-2024 00:00","1716249603","0.605","0.38","0.006"
"05-22-2024 00:00","1716336003","0.605","0.375","0.006"
"05-23-2024 00:00","1716422403","0.605","0.375","0.006"
"05-24-2024 00:00","1716508803","0.605","0.375","0.006"
"05-25-2024 00:00","1716595203","0.605","0.375","0.009"
"05-26-2024 00:00","1716681603","0.605","0.375","0.009"
"05-27-2024 00:00","1716768003","0.605","0.375","0.009"
"05-28-2024 00:00","1716854403","0.605","0.375","0.009"
"05-29-2024 00:00","1716940804","0.605","0.375","0.009"
"05-30-2024 00:00","1717027203","0.61","0.375","0.0095"
"05-31-2024 00:00","1717113603","0.61","0.365","0.0095"
"06-01-2024 00:00","1717200003","0.615","0.375","0.007"
"06-02-2024 00:00","1717286403","0.615","0.375","0.007"
"06-03-2024 00:00","1717372803","0.615","0.375","0.007"
"06-04-2024 00:00","1717459202","0.615","0.375","0.007"
"06-05-2024 00:00","1717545602","0.615","0.375","0.007"
"06-06-2024 00:00","1717632003","0.615","0.375","0.0075"
"06-07-2024 00:00","1717718402","0.61","0.375","0.007"
"06-08-2024 00:00","1717804802","0.61","0.365","0.007"
"06-09-2024 00:00","1717891203","0.615","0.36","0.007"
"06-10-2024 00:00","1717977604","0.615","0.36","0.007"
"06-11-2024 00:00","1718064002","0.615","0.365","0.007"
"06-12-2024 00:00","1718150403","0.615","0.365","0.007"
"06-13-2024 00:00","1718236803","0.62","0.32","0.007"
"06-14-2024 00:00","1718323203","0.645","0.325","0.007"
"06-15-2024 00:00","1718409604","0.645","0.325","0.007"
"06-16-2024 00:00","1718496004","0.645","0.325","0.007"
"06-17-2024 00:00","1718582404","0.645","0.325","0.007"
"06-18-2024 00:00","1718668803","0.645","0.325","0.007"
"06-19-2024 00:00","1718755203","0.645","0.325","0.007"
"06-20-2024 00:00","1718841604","0.655","0.305","0.0065"
"06-21-2024 00:00","1718928003","0.655","0.3","0.0065"
"06-22-2024 00:00","1719014402","0.665","0.295","0.0065"
"06-23-2024 00:00","1719100803","0.665","0.295","0.0065"
"06-24-2024 00:00","1719187203","0.665","0.295","0.0065"
"06-25-2024 00:00","1719273603","0.665","0.295","0.0065"
"06-26-2024 00:00","1719360003","0.665","0.295","0.0065"
"06-27-2024 00:00","1719446402","0.715","0.28","0.007"
"06-28-2024 00:00","1719532803","0.72","0.275","0.007"
"06-29-2024 00:00","1719619202","0.715","0.275","0.007"
"06-30-2024 00:00","1719705602","0.715","0.275","0.007"
