"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"07-05-2024 03:00","1720148402","0.925","0.065","0.01"
"07-05-2024 04:00","1720152002","0.925","0.065","0.01"
"07-05-2024 05:00","1720155602","0.925","0.065","0.01"
"07-05-2024 06:00","1720159202","0.925","0.065","0.01"
"07-05-2024 07:00","1720162802","0.925","0.065","0.01"
"07-05-2024 08:00","1720166402","0.925","0.065","0.01"
"07-05-2024 09:00","1720170002","0.925","0.065","0.01"
"07-05-2024 10:00","1720173602","0.925","0.065","0.01"
"07-05-2024 11:00","1720177202","0.925","0.065","0.01"
"07-05-2024 12:00","1720180802","0.925","0.065","0.01"
"07-05-2024 13:00","1720184402","0.925","0.065","0.01"
"07-05-2024 14:00","1720188002","0.925","0.065","0.01"
"07-05-2024 15:00","1720191602","0.925","0.065","0.01"
"07-05-2024 16:00","1720195202","0.925","0.065","0.01"
"07-05-2024 17:00","1720198802","0.925","0.065","0.01"
"07-05-2024 18:00","1720202402","0.925","0.065","0.01"
"07-05-2024 19:00","1720206002","0.925","0.065","0.01"
"07-05-2024 20:00","1720209602","0.925","0.065","0.01"
"07-05-2024 21:00","1720213202","0.925","0.065","0.01"
"07-05-2024 22:00","1720216803","0.925","0.065","0.01"
"07-05-2024 23:00","1720220402","0.925","0.065","0.01"
"07-06-2024 00:00","1720224002","0.925","0.065","0.01"
"07-06-2024 01:00","1720227602","0.925","0.065","0.01"
"07-06-2024 02:00","1720231202","0.925","0.065","0.01"
"07-06-2024 03:00","1720234802","0.925","0.065","0.01"
"07-06-2024 04:00","1720238402","0.925","0.065","0.01"
"07-06-2024 05:00","1720242002","0.925","0.065","0.01"
"07-06-2024 06:00","1720245602","0.925","0.065","0.01"
"07-06-2024 07:00","1720249203","0.925","0.065","0.01"
"07-06-2024 08:00","1720252802","0.925","0.065","0.01"
"07-06-2024 09:00","1720256403","0.925","0.065","0.01"
"07-06-2024 10:00","1720260002","0.925","0.065","0.01"
"07-06-2024 11:00","1720263602","0.925","0.065","0.01"
"07-06-2024 12:00","1720267202","0.925","0.065","0.01"
"07-06-2024 13:00","1720270802","0.925","0.065","0.01"
"07-06-2024 14:00","1720274402","0.925","0.065","0.01"
"07-06-2024 15:00","1720278002","0.925","0.065","0.01"
"07-06-2024 16:00","1720281602","0.925","0.065","0.01"
"07-06-2024 17:00","1720285202","0.925","0.065","0.01"
"07-06-2024 18:00","1720288803","0.925","0.065","0.01"
"07-06-2024 19:00","1720292402","0.925","0.065","0.01"
"07-06-2024 20:00","1720296002","0.925","0.065","0.01"
"07-06-2024 21:00","1720299603","0.925","0.065","0.01"
"07-06-2024 22:00","1720303202","0.925","0.065","0.01"
"07-06-2024 23:00","1720306802","0.925","0.065","0.01"
"07-07-2024 00:00","1720310402","0.925","0.065","0.01"
"07-07-2024 01:00","1720314002","0.93","0.065","0.0095"
"07-07-2024 02:00","1720317602","0.93","0.065","0.0095"
"07-07-2024 03:00","1720321202","0.935","0.065","0.0095"
"07-07-2024 04:00","1720324802","0.935","0.065","0.0095"
"07-07-2024 05:00","1720328402","0.935","0.065","0.0095"
"07-07-2024 06:00","1720332002","0.935","0.065","0.0095"
"07-07-2024 07:00","1720335603","0.935","0.065","0.0095"
"07-07-2024 08:00","1720339202","0.935","0.065","0.0095"
"07-07-2024 09:00","1720342802","0.935","0.065","0.0095"
"07-07-2024 10:00","1720346402","0.935","0.065","0.0095"
"07-07-2024 11:00","1720350002","0.935","0.065","0.0095"
"07-07-2024 12:00","1720353602","0.935","0.065","0.0095"
"07-07-2024 13:00","1720357202","0.935","0.065","0.0085"
"07-07-2024 14:00","1720360802","0.935","0.065","0.0085"
"07-07-2024 15:00","1720364402","0.935","0.065","0.0085"
"07-07-2024 16:00","1720368002","0.935","0.065","0.0085"
"07-07-2024 17:00","1720371602","0.935","0.065","0.0085"
"07-07-2024 18:00","1720375203","0.935","0.065","0.0085"
"07-07-2024 19:00","1720378802","0.935","0.065","0.0085"
"07-07-2024 20:00","1720382402","0.935","0.065","0.0085"
"07-07-2024 21:00","1720386002","0.935","0.065","0.0085"
"07-07-2024 22:00","1720389602","0.935","0.065","0.0085"
"07-07-2024 23:00","1720393202","0.935","0.065","0.0085"
"07-08-2024 00:00","1720396802","0.935","0.065","0.0085"
"07-08-2024 01:00","1720400402","0.935","0.065","0.0085"
"07-08-2024 02:00","1720404002","0.935","0.065","0.0085"
"07-08-2024 03:00","1720407602","0.935","0.065","0.0085"
"07-08-2024 04:00","1720411202","0.935","0.065","0.0085"
"07-08-2024 05:00","1720414802","0.935","0.065","0.0085"
"07-08-2024 06:00","1720418402","0.935","0.065","0.0085"
"07-08-2024 07:00","1720422002","0.935","0.065","0.0085"
"07-08-2024 08:00","1720425603","0.935","0.065","0.0085"
"07-08-2024 09:00","1720429202","0.935","0.065","0.0085"
"07-08-2024 10:00","1720432802","0.935","0.065","0.0085"
"07-08-2024 11:00","1720436402","0.935","0.065","0.0085"
"07-08-2024 12:00","1720440002","0.935","0.065","0.0085"
"07-08-2024 13:00","1720443603","0.935","0.065","0.0085"
"07-08-2024 14:00","1720447202","0.935","0.065","0.0085"
"07-08-2024 15:00","1720450802","0.935","0.065","0.0085"
"07-08-2024 16:00","1720454402","0.935","0.065","0.0085"
"07-08-2024 17:00","1720458002","0.935","0.065","0.0085"
"07-08-2024 18:00","1720461602","0.935","0.065","0.0085"
"07-08-2024 19:00","1720465202","0.935","0.065","0.0085"
"07-08-2024 20:00","1720468802","0.935","0.065","0.0085"
"07-08-2024 21:00","1720472403","0.935","0.065","0.0085"
"07-08-2024 22:00","1720476002","0.935","0.065","0.0085"
"07-08-2024 23:00","1720479602","0.935","0.065","0.0085"
"07-09-2024 00:00","1720483202","0.935","0.065","0.0085"
"07-09-2024 01:00","1720486802","0.935","0.065","0.0085"
"07-09-2024 02:00","1720490402","0.935","0.065","0.0085"
"07-09-2024 03:00","1720494002","0.935","0.065","0.0085"
"07-09-2024 04:00","1720497604","0.935","0.065","0.0085"
"07-09-2024 05:00","1720501202","0.935","0.065","0.0085"
"07-09-2024 06:00","1720504803","0.935","0.065","0.0085"
"07-09-2024 07:00","1720508402","0.935","0.065","0.0085"
"07-09-2024 08:00","1720512002","0.935","0.065","0.0085"
"07-09-2024 09:00","1720515602","0.935","0.065","0.0085"
"07-09-2024 10:00","1720519202","0.935","0.065","0.0085"
"07-09-2024 11:00","1720522802","0.935","0.065","0.0085"
"07-09-2024 12:00","1720526402","0.935","0.065","0.0085"
"07-09-2024 13:00","1720530002","0.935","0.065","0.0085"
"07-09-2024 14:00","1720533602","0.935","0.065","0.0085"
"07-09-2024 15:00","1720537202","0.935","0.065","0.0085"
"07-09-2024 16:00","1720540802","0.935","0.065","0.0085"
"07-09-2024 17:00","1720544402","0.935","0.065","0.0085"
"07-09-2024 18:00","1720548002","0.935","0.065","0.0085"
"07-09-2024 19:00","1720551602","0.935","0.065","0.0085"
"07-09-2024 20:00","1720555202","0.935","0.065","0.0085"
"07-09-2024 21:00","1720558802","0.935","0.065","0.0085"
"07-09-2024 22:00","1720562402","0.935","0.065","0.0085"
"07-09-2024 23:00","1720566002","0.935","0.065","0.0085"
"07-10-2024 00:00","1720569603","0.935","0.065","0.0085"
"07-10-2024 01:00","1720573203","0.935","0.065","0.0085"
"07-10-2024 02:00","1720576802","0.935","0.065","0.008"
"07-10-2024 03:00","1720580403","0.935","0.065","0.008"
"07-10-2024 04:00","1720584003","0.935","0.065","0.008"
"07-10-2024 05:00","1720587602","0.935","0.065","0.008"
"07-10-2024 06:00","1720591202","0.935","0.065","0.008"
"07-10-2024 07:00","1720594802","0.935","0.065","0.0085"
"07-10-2024 08:00","1720598403","0.935","0.065","0.008"
"07-10-2024 09:00","1720602002","0.935","0.065","0.008"
"07-10-2024 10:00","1720605602","0.935","0.065","0.0085"
"07-10-2024 11:00","1720609203","0.935","0.065","0.008"
"07-10-2024 12:00","1720612802","0.935","0.065","0.008"
"07-10-2024 13:00","1720616402","0.935","0.065","0.008"
"07-10-2024 14:00","1720620002","0.935","0.065","0.008"
"07-10-2024 15:00","1720623603","0.935","0.065","0.008"
"07-10-2024 16:00","1720627202","0.935","0.065","0.008"
"07-10-2024 17:00","1720630802","0.935","0.065","0.008"
"07-10-2024 18:00","1720634402","0.935","0.065","0.008"
"07-10-2024 19:00","1720638002","0.935","0.065","0.008"
"07-10-2024 20:00","1720641602","0.935","0.065","0.008"
"07-10-2024 21:00","1720645202","0.935","0.065","0.008"
"07-10-2024 22:00","1720648802","0.935","0.065","0.008"
"07-10-2024 23:00","1720652402","0.935","0.065","0.008"
"07-11-2024 00:00","1720656003","0.935","0.065","0.008"
"07-11-2024 01:00","1720659602","0.935","0.065","0.008"
"07-11-2024 02:00","1720663203","0.935","0.065","0.008"
"07-11-2024 03:00","1720666802","0.935","0.065","0.008"
"07-11-2024 04:00","1720670402","0.935","0.065","0.008"
"07-11-2024 05:00","1720674002","0.935","0.065","0.008"
"07-11-2024 06:00","1720677603","0.935","0.065","0.008"
"07-11-2024 07:00","1720681202","0.935","0.065","0.008"
"07-11-2024 08:00","1720684802","0.935","0.065","0.008"
"07-11-2024 09:00","1720688402","0.935","0.065","0.008"
"07-11-2024 10:00","1720692003","0.935","0.065","0.008"
"07-11-2024 11:00","1720695603","0.935","0.065","0.008"
"07-11-2024 12:00","1720699202","0.935","0.065","0.008"
"07-11-2024 13:00","1720702803","0.935","0.065","0.008"
"07-11-2024 14:00","1720706403","0.935","0.065","0.008"
"07-11-2024 15:00","1720710002","0.935","0.065","0.008"
"07-11-2024 16:00","1720713603","0.935","0.065","0.008"
"07-11-2024 17:00","1720717202","0.935","0.065","0.008"
"07-11-2024 18:00","1720720802","0.935","0.065","0.008"
"07-11-2024 19:00","1720724402","0.935","0.065","0.008"
"07-11-2024 20:00","1720728002","0.935","0.065","0.0085"
"07-11-2024 21:00","1720731602","0.935","0.065","0.008"
"07-11-2024 22:00","1720735202","0.935","0.065","0.0085"
"07-11-2024 23:00","1720738802","0.935","0.065","0.008"
"07-12-2024 00:00","1720742402","0.935","0.065","0.008"
