"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"08-04-2024 03:00","1722740401","0.485","0.515","0.004"
"08-04-2024 04:00","1722744001","0.485","0.515","0.006"
"08-04-2024 05:00","1722747601","0.485","0.515","0.0035"
"08-04-2024 06:00","1722751201","0.485","0.515","0.003"
"08-04-2024 07:00","1722754801","0.485","0.515","0.003"
"08-04-2024 08:00","1722758401","0.485","0.515","0.003"
"08-04-2024 09:00","1722762001","0.485","0.515","0.003"
"08-04-2024 10:00","1722765601","0.48","0.515","0.0035"
"08-04-2024 11:00","1722769201","0.48","0.515","0.003"
"08-04-2024 12:00","1722772802","0.48","0.515","0.0025"
"08-04-2024 13:00","1722776402","0.48","0.515","0.0025"
"08-04-2024 14:00","1722780002","0.48","0.515","0.0025"
"08-04-2024 15:00","1722783602","0.48","0.515","0.003"
"08-04-2024 16:00","1722787201","0.48","0.515","0.003"
"08-04-2024 17:00","1722790801","0.48","0.515","0.0035"
"08-04-2024 18:00","1722794402","0.48","0.515","0.0035"
"08-04-2024 19:00","1722798001","0.48","0.515","0.003"
"08-04-2024 20:00","1722801601","0.48","0.515","0.003"
"08-04-2024 21:00","1722805202","0.48","0.515","0.003"
"08-04-2024 22:00","1722808802","0.48","0.515","0.003"
"08-04-2024 23:00","1722812401","0.48","0.515","0.003"
"08-05-2024 00:00","1722816001","0.48","0.515","0.003"
"08-05-2024 01:00","1722819601","0.48","0.515","0.003"
"08-05-2024 02:00","1722823202","0.48","0.515","0.003"
"08-05-2024 03:00","1722826801","0.48","0.51","0.003"
"08-05-2024 04:00","1722830402","0.48","0.51","0.003"
"08-05-2024 05:00","1722834001","0.48","0.51","0.003"
"08-05-2024 06:00","1722837602","0.48","0.51","0.003"
"08-05-2024 07:00","1722841201","0.48","0.51","0.003"
"08-05-2024 08:00","1722844801","0.48","0.51","0.003"
"08-05-2024 09:00","1722848401","0.48","0.51","0.003"
"08-05-2024 10:00","1722852001","0.48","0.51","0.003"
"08-05-2024 11:00","1722855602","0.48","0.51","0.003"
"08-05-2024 12:00","1722859202","0.48","0.51","0.003"
"08-05-2024 13:00","1722862801","0.48","0.51","0.003"
"08-05-2024 14:00","1722866402","0.48","0.51","0.003"
"08-05-2024 15:00","1722870001","0.475","0.51","0.003"
"08-05-2024 16:00","1722873602","0.475","0.51","0.003"
"08-05-2024 17:00","1722877201","0.475","0.51","0.003"
"08-05-2024 18:00","1722880802","0.475","0.51","0.003"
"08-05-2024 19:00","1722884401","0.475","0.51","0.003"
"08-05-2024 20:00","1722888001","0.475","0.51","0.003"
"08-05-2024 21:00","1722891601","0.47","0.51","0.003"
"08-05-2024 22:00","1722895201","0.475","0.51","0.003"
"08-05-2024 23:00","1722898801","0.475","0.51","0.003"
"08-06-2024 00:00","1722902401","0.475","0.51","0.003"
"08-06-2024 01:00","1722906001","0.475","0.51","0.003"
"08-06-2024 02:00","1722909601","0.475","0.51","0.003"
"08-06-2024 03:00","1722913202","0.48","0.515","0.003"
"08-06-2024 04:00","1722916801","0.485","0.505","0.003"
"08-06-2024 05:00","1722920401","0.49","0.505","0.003"
"08-06-2024 06:00","1722924002","0.49","0.505","0.003"
"08-06-2024 07:00","1722927601","0.49","0.505","0.003"
"08-06-2024 08:00","1722931201","0.495","0.505","0.003"
"08-06-2024 09:00","1722934802","0.495","0.505","0.003"
"08-06-2024 10:00","1722938401","0.495","0.505","0.003"
"08-06-2024 11:00","1722942001","0.495","0.51","0.003"
"08-06-2024 12:00","1722945602","0.495","0.51","0.003"
"08-06-2024 13:00","1722949201","0.505","0.505","0.003"
"08-06-2024 14:00","1722952801","0.505","0.505","0.003"
"08-06-2024 15:00","1722956401","0.505","0.505","0.0025"
"08-06-2024 16:00","1722960002","0.505","0.5","0.0025"
"08-06-2024 17:00","1722963602","0.505","0.5","0.0025"
"08-06-2024 18:00","1722967202","0.505","0.495","0.0025"
"08-06-2024 19:00","1722970802","0.505","0.495","0.0025"
"08-06-2024 20:00","1722974402","0.505","0.495","0.0025"
"08-06-2024 21:00","1722978002","0.505","0.495","0.0025"
"08-06-2024 22:00","1722981601","0.51","0.495","0.0025"
"08-06-2024 23:00","1722985202","0.51","0.495","0.0025"
"08-07-2024 00:00","1722988801","0.51","0.495","0.0025"
"08-07-2024 01:00","1722992401","0.51","0.495","0.0025"
"08-07-2024 02:00","1722996001","0.51","0.5","0.0025"
"08-07-2024 03:00","1722999601","0.51","0.5","0.003"
"08-07-2024 04:00","1723003201","0.51","0.5","0.003"
"08-07-2024 05:00","1723006801","0.51","0.5","0.003"
"08-07-2024 06:00","1723010401","0.51","0.5","0.003"
"08-07-2024 07:00","1723014001","0.51","0.5","0.003"
"08-07-2024 08:00","1723017601","0.51","0.5","0.0035"
"08-07-2024 09:00","1723021201","0.51","0.495","0.0035"
"08-07-2024 10:00","1723024802","0.51","0.495","0.0025"
"08-07-2024 11:00","1723028401","0.505","0.49","0.0025"
"08-07-2024 12:00","1723032001","0.505","0.49","0.0025"
"08-07-2024 13:00","1723035601","0.505","0.49","0.0025"
"08-07-2024 14:00","1723039202","0.505","0.49","0.0025"
"08-07-2024 15:00","1723042802","0.505","0.49","0.0025"
"08-07-2024 16:00","1723046402","0.505","0.49","0.0025"
"08-07-2024 17:00","1723050002","0.505","0.49","0.0025"
"08-07-2024 18:00","1723053601","0.505","0.495","0.0025"
"08-07-2024 19:00","1723057201","0.51","0.49","0.0025"
"08-07-2024 20:00","1723060801","0.515","0.49","0.0025"
"08-07-2024 21:00","1723064401","0.515","0.49","0.0025"
"08-07-2024 22:00","1723068002","0.515","0.49","0.0025"
"08-07-2024 23:00","1723071602","0.51","0.495","0.0025"
"08-08-2024 00:00","1723075201","0.515","0.49","0.0025"
"08-08-2024 01:00","1723078801","0.53","0.49","0.0025"
"08-08-2024 02:00","1723082401","0.52","0.49","0.0025"
"08-08-2024 03:00","1723086001","0.515","0.485","0.0025"
"08-08-2024 04:00","1723089601","0.505","0.49","0.0025"
"08-08-2024 05:00","1723093201","0.505","0.49","0.0025"
"08-08-2024 06:00","1723096801","0.515","0.485","0.0025"
"08-08-2024 07:00","1723100402","0.515","0.485","0.0025"
"08-08-2024 08:00","1723104002","0.515","0.475","0.0025"
"08-08-2024 09:00","1723107601","0.52","0.475","0.0025"
"08-08-2024 10:00","1723111201","0.525","0.475","0.0025"
"08-08-2024 11:00","1723114801","0.525","0.475","0.0025"
"08-08-2024 12:00","1723118401","0.52","0.475","0.0025"
"08-08-2024 13:00","1723122001","0.52","0.475","0.0025"
"08-08-2024 14:00","1723125601","0.525","0.475","0.0025"
"08-08-2024 15:00","1723129202","0.525","0.475","0.0025"
"08-08-2024 16:00","1723132802","0.525","0.475","0.0025"
"08-08-2024 17:00","1723136401","0.525","0.475","0.0025"
"08-08-2024 18:00","1723140002","0.52","0.485","0.0025"
"08-08-2024 19:00","1723143602","0.515","0.485","0.0025"
"08-08-2024 20:00","1723147202","0.52","0.485","0.0025"
"08-08-2024 21:00","1723150801","0.52","0.485","0.0025"
"08-08-2024 22:00","1723154401","0.52","0.485","0.003"
"08-08-2024 23:00","1723158001","0.52","0.485","0.003"
"08-09-2024 00:00","1723161602","0.52","0.485","0.003"
"08-09-2024 01:00","1723165202","0.52","0.485","0.003"
"08-09-2024 02:00","1723168801","0.52","0.485","0.003"
"08-09-2024 03:00","1723172401","0.525","0.475","0.003"
"08-09-2024 04:00","1723176002","0.525","0.475","0.003"
"08-09-2024 05:00","1723179601","0.525","0.475","0.003"
"08-09-2024 06:00","1723183202","0.525","0.475","0.0035"
"08-09-2024 07:00","1723186801","0.525","0.475","0.0035"
"08-09-2024 08:00","1723190402","0.525","0.475","0.0035"
"08-09-2024 09:00","1723194001","0.525","0.475","0.0035"
"08-09-2024 10:00","1723197601","0.525","0.475","0.003"
"08-09-2024 11:00","1723201201","0.525","0.475","0.003"
"08-09-2024 12:00","1723204801","0.525","0.475","0.003"
"08-09-2024 13:00","1723208401","0.525","0.475","0.003"
"08-09-2024 14:00","1723212002","0.525","0.475","0.0035"
"08-09-2024 15:00","1723215601","0.525","0.475","0.0035"
"08-09-2024 16:00","1723219201","0.525","0.475","0.003"
"08-09-2024 17:00","1723222801","0.525","0.475","0.003"
"08-09-2024 18:00","1723226401","0.525","0.475","0.003"
"08-09-2024 19:00","1723230002","0.525","0.475","0.003"
"08-09-2024 20:00","1723233602","0.525","0.475","0.003"
"08-09-2024 21:00","1723237201","0.525","0.47","0.003"
"08-09-2024 22:00","1723240802","0.525","0.47","0.003"
"08-09-2024 23:00","1723244402","0.525","0.47","0.003"
"08-10-2024 00:00","1723248002","0.525","0.47","0.003"
"08-10-2024 01:00","1723251601","0.525","0.47","0.003"
"08-10-2024 02:00","1723255202","0.525","0.47","0.003"
"08-10-2024 03:00","1723258802","0.525","0.47","0.003"
"08-10-2024 04:00","1723262402","0.525","0.47","0.003"
"08-10-2024 05:00","1723266002","0.525","0.47","0.003"
"08-10-2024 06:00","1723269601","0.525","0.47","0.003"
"08-10-2024 07:00","1723273202","0.525","0.47","0.003"
"08-10-2024 08:00","1723276802","0.525","0.47","0.003"
"08-10-2024 09:00","1723280401","0.525","0.47","0.003"
"08-10-2024 10:00","1723284002","0.525","0.47","0.003"
"08-10-2024 11:00","1723287602","0.525","0.47","0.003"
"08-10-2024 12:00","1723291202","0.545","0.45","0.003"
"08-10-2024 13:00","1723294802","0.545","0.45","0.003"
"08-10-2024 14:00","1723298402","0.545","0.45","0.003"
"08-10-2024 15:00","1723302002","0.545","0.45","0.003"
"08-10-2024 16:00","1723305601","0.545","0.45","0.003"
"08-10-2024 17:00","1723309202","0.545","0.445","0.003"
"08-10-2024 18:00","1723312802","0.555","0.435","0.003"
"08-10-2024 19:00","1723316401","0.555","0.435","0.003"
"08-10-2024 20:00","1723320001","0.555","0.435","0.003"
