"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0065"
"04-11-2024 00:00","1712793603","0.905","0.085","0.015"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0115"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0225"
"05-02-2024 00:00","1714608003","0.905","0.075","0.023"
"05-09-2024 00:00","1715212803","0.905","0.065","0.0225"
"05-16-2024 00:00","1715817604","0.915","0.055","0.0225"
"05-23-2024 00:00","1716422403","0.915","0.055","0.0405"
"05-30-2024 00:00","1717027203","0.915","0.055","0.037"
"06-06-2024 00:00","1717632003","0.925","0.045","0.037"
"06-13-2024 00:00","1718236803","0.925","0.045","0.037"
"06-20-2024 00:00","1718841604","0.92","0.045","0.0365"
"06-27-2024 00:00","1719446402","0.905","0.0845","0.028"
"07-04-2024 00:00","1720051203","0.925","0.0635","0.025"
"07-11-2024 00:00","1720656003","0.915","0.071","0.0245"
"07-18-2024 00:00","1721260802","0.93","0.057","0.014"
"07-25-2024 00:00","1721865601","0.925","0.0695","0.014"
"08-01-2024 00:00","1722470402","0.92","0.0695","0.0055"
"08-08-2024 00:00","1723075201","0.92","0.074","0.0045"
"08-15-2024 00:00","1723680002","0.915","0.076","0.0125"
"08-22-2024 00:00","1724284802","0.905","0.0945","0.005"
"08-29-2024 00:00","1724889602","0.905","0.098","0.0035"
"09-05-2024 00:00","1725494402","0.905","0.0905","0.002"
"09-12-2024 00:00","1726099202","0.915","0.0855","0.002"
"09-19-2024 00:00","1726704001","0.9","0.0995","0.0015"
"09-26-2024 00:00","1727308802","0.9","0.0985","0.0025"
"10-03-2024 00:00","1727913602","0.89","0.103","0.002"
"10-10-2024 00:00","1728518402","0.915","0.082","0.002"
"10-17-2024 00:00","1729123202","0.91","0.0775","0.002"
"10-24-2024 00:00","1729728003","0.935","0.0645","0.002"
"10-31-2024 00:00","1730332803","0.955","0.0525","0.0025"
"11-04-2024 05:17","1730697422","0.9235","0.0665","0.0015"
