"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"03-14-2024 00:00","1710374403","0.555","0.445","0.0055"
"03-21-2024 00:00","1710979203","0.555","0.445","0.0065"
"03-28-2024 00:00","1711584003","0.555","0.445","0.0065"
"04-04-2024 00:00","1712188803","0.555","0.445","0.0075"
"04-11-2024 00:00","1712793603","0.49","0.485","0.0085"
"04-18-2024 00:00","1713398403","0.495","0.475","0.008"
"04-25-2024 00:00","1714003203","0.495","0.465","0.0165"
"05-02-2024 00:00","1714608003","0.495","0.465","0.0175"
"05-09-2024 00:00","1715212803","0.495","0.465","0.0185"
"05-16-2024 00:00","1715817604","0.56","0.43","0.019"
"05-23-2024 00:00","1716422403","0.58","0.385","0.015"
"05-30-2024 00:00","1717027203","0.58","0.385","0.015"
"06-06-2024 00:00","1717632003","0.585","0.38","0.015"
"06-13-2024 00:00","1718236803","0.585","0.38","0.013"
"06-20-2024 00:00","1718841604","0.595","0.38","0.0145"
"06-27-2024 00:00","1719446402","0.635","0.375","0.011"
"07-04-2024 00:00","1720051203","0.735","0.265","0.008"
"07-11-2024 00:00","1720656003","0.73","0.27","0.0035"
"07-18-2024 00:00","1721260802","0.735","0.24","0.006"
"07-25-2024 00:00","1721865601","0.585","0.4","0.0045"
"08-01-2024 00:00","1722470402","0.645","0.355","0.0025"
"08-08-2024 00:00","1723075201","0.59","0.405","0.0025"
"08-15-2024 00:00","1723680002","0.505","0.495","0.0035"
"08-22-2024 00:00","1724284802","0.535","0.46","0.0035"
"08-29-2024 00:00","1724889602","0.545","0.455","0.0015"
"09-05-2024 00:00","1725494402","0.6","0.4","0.002"
"09-12-2024 00:00","1726099202","0.595","0.395","0.0015"
"09-19-2024 00:00","1726704001","0.62","0.375","0.0015"
"09-26-2024 00:00","1727308802","0.625","0.365","0.0015"
"10-03-2024 00:00","1727913602","0.635","0.36","0.002"
"10-05-2024 14:00","1728136802","0.635","0.365","0.0015"
