"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0065"
"04-11-2024 00:00","1712793603","0.915","0.075","0.0165"
"04-18-2024 00:00","1713398403","0.915","0.075","0.0135"
"04-25-2024 00:00","1714003203","0.925","0.065","0.012"
"05-02-2024 00:00","1714608003","0.915","0.065","0.0125"
"05-09-2024 00:00","1715212803","0.915","0.065","0.0125"
"05-16-2024 00:00","1715817604","0.915","0.065","0.0125"
"05-23-2024 00:00","1716422403","0.915","0.065","0.012"
"05-30-2024 00:00","1717027203","0.915","0.065","0.0125"
"06-06-2024 00:00","1717632003","0.915","0.065","0.0125"
"06-13-2024 00:00","1718236803","0.915","0.065","0.0125"
"06-20-2024 00:00","1718841604","0.925","0.065","0.0125"
"06-27-2024 00:00","1719446402","0.935","0.055","0.012"
"07-04-2024 00:00","1720051203","0.955","0.034","0.0065"
"07-11-2024 00:00","1720656003","0.955","0.0385","0.0065"
"07-18-2024 00:00","1721260802","0.945","0.0555","0.006"
"07-25-2024 00:00","1721865601","0.935","0.065","0.0055"
"08-01-2024 00:00","1722470402","0.945","0.0515","0.0045"
"08-08-2024 00:00","1723075201","0.961","0.0285","0.0035"
"08-15-2024 00:00","1723680002","0.975","0.0185","0.006"
"08-22-2024 00:00","1724284802","0.974","0.0205","0.003"
"08-29-2024 00:00","1724889602","0.9765","0.0235","0.0025"
"09-05-2024 00:00","1725494402","0.9755","0.024","0.0025"
"09-12-2024 00:00","1726099202","0.9765","0.02","0.0025"
"09-19-2024 00:00","1726704001","0.9755","0.019","0.003"
"09-26-2024 00:00","1727308802","0.977","0.019","0.003"
"10-03-2024 00:00","1727913602","0.982","0.018","0.003"
"10-10-2024 00:00","1728518402","0.989","0.008","0.0025"
"10-17-2024 00:00","1729123202","0.9575","0.041","0.002"
"10-24-2024 00:00","1729728003","0.9785","0.021","0.0015"
"10-31-2024 00:00","1730332803","0.978","0.022","0.0035"
"11-04-2024 05:58","1730699882","0.9875","0.0125","0.0015"
