"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0085"
"04-11-2024 00:00","1712793603","0.905","0.085","0.011"
"04-18-2024 00:00","1713398403","0.905","0.08","0.011"
"04-25-2024 00:00","1714003203","0.905","0.08","0.011"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0115"
"05-09-2024 00:00","1715212803","0.905","0.075","0.011"
"05-16-2024 00:00","1715817604","0.905","0.075","0.011"
"05-23-2024 00:00","1716422403","0.905","0.075","0.011"
"05-30-2024 00:00","1717027203","0.905","0.075","0.011"
"06-06-2024 00:00","1717632003","0.91","0.075","0.011"
"06-13-2024 00:00","1718236803","0.905","0.075","0.011"
"06-20-2024 00:00","1718841604","0.905","0.075","0.011"
"06-27-2024 00:00","1719446402","0.905","0.075","0.011"
"07-04-2024 00:00","1720051203","0.895","0.105","0.0075"
"07-11-2024 00:00","1720656003","0.865","0.125","0.0065"
"07-18-2024 00:00","1721260802","0.865","0.135","0.0045"
"07-25-2024 00:00","1721865601","0.885","0.11","0.0045"
"08-01-2024 00:00","1722470402","0.9","0.105","0.0045"
"08-08-2024 00:00","1723075201","0.95","0.0355","0.0035"
"08-15-2024 00:00","1723680002","0.95","0.044","0.0035"
"08-22-2024 00:00","1724284802","0.952","0.047","0.003"
"08-29-2024 00:00","1724889602","0.9545","0.0475","0.0015"
"09-05-2024 00:00","1725494402","0.958","0.0415","0.0015"
"09-12-2024 00:00","1726099202","0.9625","0.0345","0.002"
"09-19-2024 00:00","1726704001","0.975","0.023","0.002"
"09-26-2024 00:00","1727308802","0.975","0.0235","0.0015"
"10-03-2024 00:00","1727913602","0.971","0.026","0.0045"
"10-10-2024 00:00","1728518402","0.9665","0.0325","0.0015"
"10-17-2024 00:00","1729123202","0.9405","0.052","0.0015"
"10-24-2024 00:00","1729728003","0.9455","0.055","0.0025"
"10-31-2024 00:00","1730332803","0.9585","0.041","0.0035"
"11-04-2024 05:21","1730697662","0.969","0.025","0.0025"
