"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.926","0.075","0.005"
"04-11-2024 00:00","1712793603","0.921","0.075","0.0105"
"04-18-2024 00:00","1713398403","0.9145","0.07","0.0105"
"04-25-2024 00:00","1714003203","0.9145","0.07","0.0105"
"05-02-2024 00:00","1714608003","0.9145","0.075","0.0105"
"05-09-2024 00:00","1715212803","0.918","0.065","0.01"
"05-16-2024 00:00","1715817604","0.9145","0.07","0.0105"
"05-23-2024 00:00","1716422403","0.916","0.07","0.0105"
"05-30-2024 00:00","1717027203","0.92","0.07","0.0105"
"06-06-2024 00:00","1717632003","0.9225","0.07","0.0105"
"06-13-2024 00:00","1718236803","0.9195","0.075","0.0105"
"06-20-2024 00:00","1718841604","0.9195","0.075","0.0105"
"06-27-2024 00:00","1719446402","0.9195","0.075","0.0105"
"07-04-2024 00:00","1720051203","0.9675","0.029","0.0065"
"07-11-2024 00:00","1720656003","0.9605","0.0315","0.0065"
"07-18-2024 00:00","1721260802","0.951","0.05","0.004"
"07-25-2024 00:00","1721865601","0.952","0.038","0.003"
"08-01-2024 00:00","1722470402","0.953","0.035","0.003"
"08-08-2024 00:00","1723075201","0.9595","0.0285","0.0045"
"08-15-2024 00:00","1723680002","0.9685","0.03","0.0035"
"08-22-2024 00:00","1724284802","0.9635","0.0265","0.0035"
"08-29-2024 00:00","1724889602","0.9685","0.0275","0.003"
"09-05-2024 00:00","1725494402","0.9695","0.0275","0.0025"
"09-12-2024 00:00","1726099202","0.9695","0.0275","0.004"
"09-19-2024 00:00","1726704001","0.972","0.0265","0.0035"
"09-26-2024 00:00","1727308802","0.972","0.0265","0.003"
"10-03-2024 00:00","1727913602","0.9755","0.024","0.0025"
"10-10-2024 00:00","1728518402","0.9765","0.023","0.0015"
"10-17-2024 00:00","1729123202","0.948","0.0325","0.0015"
"10-24-2024 00:00","1729728003","0.9725","0.025","0.0015"
"10-31-2024 00:00","1730332803","0.9695","0.0285","0.006"
"11-04-2024 05:59","1730699942","0.983","0.0155","0.0055"
