"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-21-2024 00:00","1710979203","0.835","0.165","0.005"
"03-28-2024 00:00","1711584003","0.835","0.165","0.0055"
"04-04-2024 00:00","1712188803","0.835","0.165","0.0055"
"04-11-2024 00:00","1712793603","0.845","0.12","0.0085"
"04-18-2024 00:00","1713398403","0.855","0.115","0.0085"
"04-25-2024 00:00","1714003203","0.855","0.115","0.0085"
"05-02-2024 00:00","1714608003","0.875","0.115","0.0085"
"05-09-2024 00:00","1715212803","0.915","0.08","0.0105"
"05-16-2024 00:00","1715817604","0.905","0.08","0.01"
"05-23-2024 00:00","1716422403","0.915","0.085","0.0105"
"05-30-2024 00:00","1717027203","0.915","0.08","0.008"
"06-06-2024 00:00","1717632003","0.925","0.065","0.008"
"06-13-2024 00:00","1718236803","0.925","0.065","0.008"
"06-20-2024 00:00","1718841604","0.925","0.055","0.0075"
"06-27-2024 00:00","1719446402","0.925","0.055","0.0075"
"07-04-2024 00:00","1720051203","0.925","0.065","0.008"
"07-11-2024 00:00","1720656003","0.925","0.075","0.006"
"07-18-2024 00:00","1721260802","0.925","0.065","0.006"
"07-25-2024 00:00","1721865601","0.915","0.08","0.0025"
"08-01-2024 00:00","1722470402","0.9","0.105","0.0025"
"08-08-2024 00:00","1723075201","0.875","0.125","0.002"
"08-15-2024 00:00","1723680002","0.815","0.185","0.0025"
"08-22-2024 00:00","1724284802","0.855","0.15","0.0025"
"08-29-2024 00:00","1724889602","0.825","0.175","0.002"
"09-05-2024 00:00","1725494402","0.845","0.155","0.0015"
"09-12-2024 00:00","1726099202","0.83","0.165","0.0015"
"09-19-2024 00:00","1726704001","0.845","0.155","0.0015"
"09-26-2024 00:00","1727308802","0.835","0.165","0.0015"
"10-03-2024 00:00","1727913602","0.835","0.165","0.002"
"10-10-2024 00:00","1728518402","0.885","0.115","0.0025"
"10-17-2024 00:00","1729123202","0.895","0.11","0.0015"
"10-24-2024 00:00","1729728003","0.935","0.065","0.0015"
"10-31-2024 00:00","1730332803","0.955","0.045","0.0005"
"11-04-2024 05:22","1730697723","0.93","0.066","0.0005"
