"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.006"
"04-11-2024 00:00","1712793603","0.905","0.075","0.0105"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0105"
"04-25-2024 00:00","1714003203","0.905","0.065","0.0265"
"05-02-2024 00:00","1714608003","0.905","0.065","0.0265"
"05-09-2024 00:00","1715212803","0.915","0.065","0.026"
"05-16-2024 00:00","1715817604","0.915","0.06","0.03"
"05-23-2024 00:00","1716422403","0.915","0.055","0.03"
"05-30-2024 00:00","1717027203","0.915","0.055","0.0325"
"06-06-2024 00:00","1717632003","0.915","0.045","0.0325"
"06-13-2024 00:00","1718236803","0.915","0.045","0.0335"
"06-20-2024 00:00","1718841604","0.925","0.045","0.0315"
"06-27-2024 00:00","1719446402","0.925","0.045","0.0315"
"07-04-2024 00:00","1720051203","0.915","0.0485","0.0335"
"07-11-2024 00:00","1720656003","0.92","0.0455","0.0325"
"07-18-2024 00:00","1721260802","0.935","0.052","0.0065"
"07-25-2024 00:00","1721865601","0.935","0.0575","0.0145"
"08-01-2024 00:00","1722470402","0.935","0.054","0.017"
"08-08-2024 00:00","1723075201","0.965","0.039","0.008"
"08-15-2024 00:00","1723680002","0.969","0.0275","0.0035"
"08-22-2024 00:00","1724284802","0.973","0.025","0.0025"
"08-29-2024 00:00","1724889602","0.9725","0.0275","0.002"
"09-05-2024 00:00","1725494402","0.9735","0.0265","0.0015"
"09-12-2024 00:00","1726099202","0.9745","0.0215","0.004"
"09-19-2024 00:00","1726704001","0.974","0.022","0.004"
"09-26-2024 00:00","1727308802","0.9755","0.0215","0.0045"
"10-03-2024 00:00","1727913602","0.974","0.018","0.0065"
"10-10-2024 00:00","1728518402","0.9785","0.0175","0.0045"
"10-17-2024 00:00","1729123202","0.9725","0.024","0.0065"
"10-24-2024 00:00","1729728003","0.9735","0.02","0.002"
"10-31-2024 00:00","1730332803","0.977","0.0225","0.0015"
"11-04-2024 06:01","1730700062","0.976","0.028","0.0005"
