"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0085"
"04-11-2024 00:00","1712793603","0.905","0.085","0.0105"
"04-18-2024 00:00","1713398403","0.895","0.085","0.0125"
"04-25-2024 00:00","1714003203","0.895","0.085","0.013"
"05-02-2024 00:00","1714608003","0.895","0.085","0.013"
"05-09-2024 00:00","1715212803","0.895","0.075","0.013"
"05-16-2024 00:00","1715817604","0.895","0.075","0.013"
"05-23-2024 00:00","1716422403","0.905","0.065","0.012"
"05-30-2024 00:00","1717027203","0.905","0.065","0.012"
"06-06-2024 00:00","1717632003","0.915","0.065","0.012"
"06-13-2024 00:00","1718236803","0.915","0.065","0.012"
"06-20-2024 00:00","1718841604","0.915","0.065","0.012"
"06-27-2024 00:00","1719446402","0.915","0.065","0.012"
"07-04-2024 00:00","1720051203","0.935","0.065","0.0145"
"07-11-2024 00:00","1720656003","0.935","0.055","0.014"
"07-18-2024 00:00","1721260802","0.945","0.045","0.011"
"07-25-2024 00:00","1721865601","0.945","0.045","0.0115"
"08-01-2024 00:00","1722470402","0.935","0.055","0.0125"
"08-08-2024 00:00","1723075201","0.935","0.065","0.01"
"08-15-2024 00:00","1723680002","0.92","0.085","0.005"
"08-22-2024 00:00","1724284802","0.915","0.085","0.003"
"08-29-2024 00:00","1724889602","0.925","0.075","0.0015"
"09-05-2024 00:00","1725494402","0.935","0.055","0.0015"
"09-12-2024 00:00","1726099202","0.945","0.055","0.003"
"09-19-2024 00:00","1726704001","0.91","0.09","0.0045"
"09-26-2024 00:00","1727308802","0.915","0.08","0.0045"
"10-03-2024 00:00","1727913602","0.915","0.075","0.0045"
"10-10-2024 00:00","1728518402","0.925","0.075","0.0025"
"10-17-2024 00:00","1729123202","0.92","0.08","0.0035"
"10-24-2024 00:00","1729728003","0.945","0.055","0.002"
"10-31-2024 00:00","1730332803","0.955","0.045","0.0025"
"11-04-2024 06:03","1730700182","0.825","0.185","0.0005"
