"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0085"
"04-11-2024 00:00","1712793603","0.905","0.075","0.01"
"04-18-2024 00:00","1713398403","0.905","0.065","0.0105"
"04-25-2024 00:00","1714003203","0.905","0.065","0.0105"
"05-02-2024 00:00","1714608003","0.905","0.065","0.0105"
"05-09-2024 00:00","1715212803","0.915","0.055","0.012"
"05-16-2024 00:00","1715817604","0.915","0.055","0.012"
"05-23-2024 00:00","1716422403","0.915","0.055","0.0115"
"05-30-2024 00:00","1717027203","0.915","0.055","0.012"
"06-06-2024 00:00","1717632003","0.915","0.055","0.012"
"06-13-2024 00:00","1718236803","0.915","0.055","0.0115"
"06-20-2024 00:00","1718841604","0.925","0.055","0.0115"
"06-27-2024 00:00","1719446402","0.925","0.055","0.0115"
"07-04-2024 00:00","1720051203","0.945","0.05","0.011"
"07-11-2024 00:00","1720656003","0.945","0.045","0.011"
"07-18-2024 00:00","1721260802","0.945","0.045","0.011"
"07-25-2024 00:00","1721865601","0.945","0.05","0.011"
"08-01-2024 00:00","1722470402","0.945","0.049","0.0115"
"08-08-2024 00:00","1723075201","0.955","0.0335","0.0085"
"08-15-2024 00:00","1723680002","0.984","0.009","0.0065"
"08-22-2024 00:00","1724284802","0.984","0.009","0.0045"
"08-29-2024 00:00","1724889602","0.988","0.0085","0.0025"
"09-05-2024 00:00","1725494402","0.9855","0.007","0.003"
"09-12-2024 00:00","1726099202","0.985","0.008","0.0025"
"09-19-2024 00:00","1726704001","0.982","0.008","0.0035"
"09-26-2024 00:00","1727308802","0.9815","0.008","0.004"
"10-03-2024 00:00","1727913602","0.9795","0.008","0.004"
"10-10-2024 00:00","1728518402","0.981","0.0075","0.004"
"10-17-2024 00:00","1729123202","0.983","0.0055","0.004"
"10-24-2024 00:00","1729728003","0.986","0.0045","0.0025"
"10-31-2024 00:00","1730332803","0.9865","0.009","0.0025"
"11-04-2024 06:32","1730701923","0.985","0.008","0.003"
