"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0065"
"04-11-2024 00:00","1712793603","0.915","0.075","0.01"
"04-18-2024 00:00","1713398403","0.905","0.075","0.01"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0105"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0105"
"05-09-2024 00:00","1715212803","0.915","0.075","0.01"
"05-16-2024 00:00","1715817604","0.91","0.075","0.0105"
"05-23-2024 00:00","1716422403","0.915","0.075","0.01"
"05-30-2024 00:00","1717027203","0.915","0.075","0.01"
"06-06-2024 00:00","1717632003","0.915","0.075","0.01"
"06-13-2024 00:00","1718236803","0.915","0.065","0.0095"
"06-20-2024 00:00","1718841604","0.915","0.065","0.0095"
"06-27-2024 00:00","1719446402","0.915","0.065","0.0095"
"07-04-2024 00:00","1720051203","0.915","0.065","0.0105"
"07-11-2024 00:00","1720656003","0.92","0.065","0.0105"
"07-18-2024 00:00","1721260802","0.92","0.075","0.01"
"07-25-2024 00:00","1721865601","0.92","0.08","0.01"
"08-01-2024 00:00","1722470402","0.925","0.065","0.0115"
"08-08-2024 00:00","1723075201","0.9655","0.0255","0.0095"
"08-15-2024 00:00","1723680002","0.9695","0.0225","0.0055"
"08-22-2024 00:00","1724284802","0.9775","0.0225","0.0035"
"08-29-2024 00:00","1724889602","0.9765","0.022","0.003"
"09-05-2024 00:00","1725494402","0.977","0.022","0.0035"
"09-12-2024 00:00","1726099202","0.976","0.0215","0.003"
"09-19-2024 00:00","1726704001","0.976","0.0215","0.003"
"09-26-2024 00:00","1727308802","0.9755","0.0215","0.0025"
"10-03-2024 00:00","1727913602","0.9775","0.021","0.0025"
"10-10-2024 00:00","1728518402","0.9745","0.021","0.0035"
"10-17-2024 00:00","1729123202","0.949","0.0205","0.003"
"10-24-2024 00:00","1729728003","0.979","0.0205","0.0015"
"10-31-2024 00:00","1730332803","0.964","0.0335","0.0025"
"11-04-2024 05:53","1730699582","0.982","0.0145","0.0015"
