"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.006"
"04-11-2024 00:00","1712793603","0.915","0.075","0.012"
"04-18-2024 00:00","1713398403","0.905","0.075","0.012"
"04-25-2024 00:00","1714003203","0.905","0.075","0.012"
"05-02-2024 00:00","1714608003","0.905","0.075","0.013"
"05-09-2024 00:00","1715212803","0.915","0.065","0.011"
"05-16-2024 00:00","1715817604","0.915","0.065","0.0115"
"05-23-2024 00:00","1716422403","0.925","0.065","0.0135"
"05-30-2024 00:00","1717027203","0.925","0.065","0.0135"
"06-06-2024 00:00","1717632003","0.925","0.065","0.0135"
"06-13-2024 00:00","1718236803","0.925","0.065","0.0135"
"06-20-2024 00:00","1718841604","0.925","0.065","0.0165"
"06-27-2024 00:00","1719446402","0.925","0.065","0.0165"
"07-04-2024 00:00","1720051203","0.945","0.0345","0.008"
"07-11-2024 00:00","1720656003","0.945","0.0345","0.008"
"07-18-2024 00:00","1721260802","0.945","0.035","0.008"
"07-25-2024 00:00","1721865601","0.945","0.0355","0.008"
"08-01-2024 00:00","1722470402","0.945","0.0355","0.0085"
"08-08-2024 00:00","1723075201","0.955","0.04","0.008"
"08-15-2024 00:00","1723680002","0.9655","0.034","0.0045"
"08-22-2024 00:00","1724284802","0.967","0.0295","0.0035"
"08-29-2024 00:00","1724889602","0.969","0.031","0.0025"
"09-05-2024 00:00","1725494402","0.971","0.0285","0.0015"
"09-12-2024 00:00","1726099202","0.9725","0.0265","0.003"
"09-19-2024 00:00","1726704001","0.973","0.025","0.0035"
"09-26-2024 00:00","1727308802","0.974","0.024","0.004"
"10-03-2024 00:00","1727913602","0.976","0.025","0.0025"
"10-10-2024 00:00","1728518402","0.9775","0.019","0.0025"
"10-17-2024 00:00","1729123202","0.9725","0.0145","0.0025"
"10-24-2024 00:00","1729728003","0.972","0.018","0.0025"
"10-31-2024 00:00","1730332803","0.9765","0.015","0.003"
"11-04-2024 05:26","1730697962","0.971","0.029","0.004"
