"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0065"
"04-11-2024 00:00","1712793603","0.915","0.075","0.009"
"04-18-2024 00:00","1713398403","0.915","0.075","0.01"
"04-25-2024 00:00","1714003203","0.915","0.075","0.0105"
"05-02-2024 00:00","1714608003","0.915","0.075","0.0105"
"05-09-2024 00:00","1715212803","0.915","0.075","0.0105"
"05-16-2024 00:00","1715817604","0.915","0.075","0.0105"
"05-23-2024 00:00","1716422403","0.915","0.075","0.0105"
"05-30-2024 00:00","1717027203","0.915","0.075","0.0105"
"06-06-2024 00:00","1717632003","0.915","0.075","0.0105"
"06-13-2024 00:00","1718236803","0.915","0.075","0.0105"
"06-20-2024 00:00","1718841604","0.915","0.075","0.0145"
"06-27-2024 00:00","1719446402","0.925","0.065","0.011"
"07-04-2024 00:00","1720051203","0.925","0.065","0.01"
"07-11-2024 00:00","1720656003","0.935","0.065","0.008"
"07-18-2024 00:00","1721260802","0.945","0.055","0.007"
"07-25-2024 00:00","1721865601","0.945","0.055","0.007"
"08-01-2024 00:00","1722470402","0.945","0.055","0.008"
"08-08-2024 00:00","1723075201","0.955","0.045","0.0065"
"08-15-2024 00:00","1723680002","0.967","0.0325","0.0035"
"08-22-2024 00:00","1724284802","0.967","0.0325","0.0055"
"08-29-2024 00:00","1724889602","0.967","0.03","0.0035"
"09-05-2024 00:00","1725494402","0.9675","0.03","0.0035"
"09-12-2024 00:00","1726099202","0.968","0.0295","0.0035"
"09-19-2024 00:00","1726704001","0.968","0.03","0.0035"
"09-26-2024 00:00","1727308802","0.9745","0.0245","0.0035"
"10-03-2024 00:00","1727913602","0.978","0.0185","0.003"
"10-10-2024 00:00","1728518402","0.97","0.015","0.003"
"10-17-2024 00:00","1729123202","0.9685","0.0115","0.0055"
"10-24-2024 00:00","1729728003","0.9805","0.012","0.0025"
"10-31-2024 00:00","1730332803","0.979","0.0165","0.0025"
"11-04-2024 05:27","1730698022","0.9745","0.025","0.0045"
