"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.005"
"04-11-2024 00:00","1712793603","0.905","0.075","0.011"
"04-18-2024 00:00","1713398403","0.895","0.065","0.011"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0115"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0115"
"05-09-2024 00:00","1715212803","0.915","0.065","0.011"
"05-16-2024 00:00","1715817604","0.915","0.065","0.01"
"05-23-2024 00:00","1716422403","0.915","0.065","0.0095"
"05-30-2024 00:00","1717027203","0.915","0.065","0.0095"
"06-06-2024 00:00","1717632003","0.915","0.065","0.0095"
"06-13-2024 00:00","1718236803","0.915","0.065","0.0095"
"06-20-2024 00:00","1718841604","0.925","0.06","0.0095"
"06-27-2024 00:00","1719446402","0.925","0.06","0.0095"
"07-04-2024 00:00","1720051203","0.945","0.035","0.011"
"07-11-2024 00:00","1720656003","0.955","0.0255","0.0115"
"07-18-2024 00:00","1721260802","0.97","0.026","0.0115"
"07-25-2024 00:00","1721865601","0.965","0.032","0.01"
"08-01-2024 00:00","1722470402","0.9615","0.0285","0.0085"
"08-08-2024 00:00","1723075201","0.9595","0.0245","0.0035"
"08-15-2024 00:00","1723680002","0.9715","0.0255","0.0035"
"08-22-2024 00:00","1724284802","0.972","0.0225","0.003"
"08-29-2024 00:00","1724889602","0.97","0.0195","0.002"
"09-05-2024 00:00","1725494402","0.971","0.017","0.0025"
"09-12-2024 00:00","1726099202","0.9725","0.0165","0.004"
"09-19-2024 00:00","1726704001","0.976","0.0165","0.005"
"09-26-2024 00:00","1727308802","0.975","0.0125","0.004"
"10-03-2024 00:00","1727913602","0.9775","0.0115","0.0045"
"10-10-2024 00:00","1728518402","0.986","0.0065","0.002"
"10-17-2024 00:00","1729123202","0.9855","0.007","0.0025"
"10-24-2024 00:00","1729728003","0.99","0.004","0.0025"
"10-31-2024 00:00","1730332803","0.9915","0.0025","0.0025"
"11-04-2024 06:05","1730700302","0.9875","0.0045","0.004"
