"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.006"
"04-11-2024 00:00","1712793603","0.915","0.075","0.011"
"04-18-2024 00:00","1713398403","0.915","0.075","0.0105"
"04-25-2024 00:00","1714003203","0.915","0.075","0.0105"
"05-02-2024 00:00","1714608003","0.915","0.075","0.0125"
"05-09-2024 00:00","1715212803","0.915","0.065","0.011"
"05-16-2024 00:00","1715817604","0.915","0.065","0.011"
"05-23-2024 00:00","1716422403","0.915","0.065","0.0105"
"05-30-2024 00:00","1717027203","0.915","0.065","0.0105"
"06-06-2024 00:00","1717632003","0.925","0.065","0.0155"
"06-13-2024 00:00","1718236803","0.925","0.065","0.0155"
"06-20-2024 00:00","1718841604","0.925","0.06","0.0155"
"06-27-2024 00:00","1719446402","0.935","0.045","0.009"
"07-04-2024 00:00","1720051203","0.945","0.035","0.009"
"07-11-2024 00:00","1720656003","0.945","0.0345","0.009"
"07-18-2024 00:00","1721260802","0.945","0.035","0.009"
"07-25-2024 00:00","1721865601","0.945","0.0355","0.009"
"08-01-2024 00:00","1722470402","0.945","0.036","0.01"
"08-08-2024 00:00","1723075201","0.945","0.033","0.008"
"08-15-2024 00:00","1723680002","0.96","0.0325","0.0065"
"08-22-2024 00:00","1724284802","0.9745","0.0295","0.005"
"08-29-2024 00:00","1724889602","0.973","0.024","0.0035"
"09-05-2024 00:00","1725494402","0.976","0.022","0.0035"
"09-12-2024 00:00","1726099202","0.974","0.022","0.003"
"09-19-2024 00:00","1726704001","0.975","0.0205","0.004"
"09-26-2024 00:00","1727308802","0.975","0.0205","0.0035"
"10-03-2024 00:00","1727913602","0.977","0.0205","0.0035"
"10-10-2024 00:00","1728518402","0.981","0.01","0.0035"
"10-17-2024 00:00","1729123202","0.9825","0.011","0.0035"
"10-24-2024 00:00","1729728003","0.983","0.009","0.003"
"10-31-2024 00:00","1730332803","0.9825","0.0125","0.0025"
"11-04-2024 06:37","1730702222","0.985","0.0135","0.0025"
