"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.003"
"04-11-2024 00:00","1712793603","0.905","0.075","0.01"
"04-18-2024 00:00","1713398403","0.905","0.075","0.01"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0105"
"05-02-2024 00:00","1714608003","0.915","0.075","0.0105"
"05-09-2024 00:00","1715212803","0.925","0.065","0.01"
"05-16-2024 00:00","1715817604","0.925","0.065","0.0105"
"05-23-2024 00:00","1716422403","0.925","0.065","0.0105"
"05-30-2024 00:00","1717027203","0.925","0.065","0.0105"
"06-06-2024 00:00","1717632003","0.925","0.065","0.0105"
"06-13-2024 00:00","1718236803","0.925","0.065","0.011"
"06-20-2024 00:00","1718841604","0.925","0.065","0.011"
"06-27-2024 00:00","1719446402","0.925","0.065","0.011"
"07-04-2024 00:00","1720051203","0.935","0.055","0.011"
"07-11-2024 00:00","1720656003","0.935","0.055","0.01"
"07-18-2024 00:00","1721260802","0.935","0.065","0.0085"
"07-25-2024 00:00","1721865601","0.935","0.065","0.0085"
"08-01-2024 00:00","1722470402","0.945","0.035","0.0085"
"08-08-2024 00:00","1723075201","0.958","0.0275","0.006"
"08-15-2024 00:00","1723680002","0.971","0.024","0.0095"
"08-22-2024 00:00","1724284802","0.977","0.02","0.0045"
"08-29-2024 00:00","1724889602","0.9775","0.0175","0.003"
"09-05-2024 00:00","1725494402","0.9795","0.0185","0.0035"
"09-12-2024 00:00","1726099202","0.9795","0.017","0.003"
"09-19-2024 00:00","1726704001","0.9795","0.017","0.0035"
"09-26-2024 00:00","1727308802","0.9795","0.018","0.003"
"10-03-2024 00:00","1727913602","0.9815","0.0165","0.0025"
"10-10-2024 00:00","1728518402","0.985","0.0145","0.0015"
"10-17-2024 00:00","1729123202","0.99","0.008","0.0035"
"10-24-2024 00:00","1729728003","0.9885","0.0115","0.0015"
"10-31-2024 00:00","1730332803","0.983","0.016","0.0025"
"11-04-2024 05:31","1730698262","0.99","0.011","0.002"
