"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.008"
"04-11-2024 00:00","1712793603","0.905","0.075","0.009"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0095"
"04-25-2024 00:00","1714003203","0.905","0.075","0.02"
"05-02-2024 00:00","1714608003","0.915","0.065","0.02"
"05-09-2024 00:00","1715212803","0.925","0.065","0.0195"
"05-16-2024 00:00","1715817604","0.925","0.065","0.02"
"05-23-2024 00:00","1716422403","0.925","0.065","0.02"
"05-30-2024 00:00","1717027203","0.925","0.065","0.02"
"06-06-2024 00:00","1717632003","0.925","0.065","0.0145"
"06-13-2024 00:00","1718236803","0.925","0.055","0.0145"
"06-20-2024 00:00","1718841604","0.925","0.055","0.0155"
"06-27-2024 00:00","1719446402","0.925","0.055","0.0155"
"07-04-2024 00:00","1720051203","0.974","0.0245","0.0085"
"07-11-2024 00:00","1720656003","0.975","0.025","0.0075"
"07-18-2024 00:00","1721260802","0.9515","0.052","0.0025"
"07-25-2024 00:00","1721865601","0.942","0.057","0.0015"
"08-01-2024 00:00","1722470402","0.938","0.0555","0.0025"
"08-08-2024 00:00","1723075201","0.969","0.0275","0.0025"
"08-15-2024 00:00","1723680002","0.969","0.029","0.0025"
"08-22-2024 00:00","1724284802","0.9725","0.0255","0.0035"
"08-29-2024 00:00","1724889602","0.978","0.0205","0.002"
"09-05-2024 00:00","1725494402","0.9795","0.019","0.002"
"09-12-2024 00:00","1726099202","0.98","0.0185","0.003"
"09-19-2024 00:00","1726704001","0.977","0.016","0.0035"
"09-26-2024 00:00","1727308802","0.978","0.0145","0.004"
"10-03-2024 00:00","1727913602","0.9795","0.0115","0.003"
"10-10-2024 00:00","1728518402","0.9805","0.008","0.004"
"10-17-2024 00:00","1729123202","0.9795","0.0045","0.003"
"10-24-2024 00:00","1729728003","0.987","0.0105","0.0015"
"10-31-2024 00:00","1730332803","0.9775","0.019","0.0025"
"11-04-2024 06:06","1730700362","0.988","0.0115","0.0015"
