"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.885","0.115","0.0065"
"04-11-2024 00:00","1712793603","0.885","0.105","0.0105"
"04-18-2024 00:00","1713398403","0.875","0.105","0.011"
"04-25-2024 00:00","1714003203","0.875","0.095","0.0105"
"05-02-2024 00:00","1714608003","0.88","0.095","0.013"
"05-09-2024 00:00","1715212803","0.905","0.085","0.01"
"05-16-2024 00:00","1715817604","0.895","0.085","0.0105"
"05-23-2024 00:00","1716422403","0.895","0.085","0.0105"
"05-30-2024 00:00","1717027203","0.885","0.105","0.0105"
"06-06-2024 00:00","1717632003","0.85","0.15","0.0105"
"06-13-2024 00:00","1718236803","0.825","0.155","0.0065"
"06-20-2024 00:00","1718841604","0.815","0.18","0.01"
"06-27-2024 00:00","1719446402","0.69","0.28","0.01"
"07-04-2024 00:00","1720051203","0.705","0.255","0.0095"
"07-11-2024 00:00","1720656003","0.69","0.315","0.009"
"07-18-2024 00:00","1721260802","0.655","0.325","0.004"
"07-25-2024 00:00","1721865601","0.725","0.275","0.0065"
"08-01-2024 00:00","1722470402","0.785","0.205","0.0035"
"08-08-2024 00:00","1723075201","0.895","0.105","0.0075"
"08-15-2024 00:00","1723680002","0.875","0.125","0.0045"
"08-22-2024 00:00","1724284802","0.835","0.15","0.003"
"08-29-2024 00:00","1724889602","0.855","0.145","0.0015"
"09-05-2024 00:00","1725494402","0.855","0.145","0.0015"
"09-12-2024 00:00","1726099202","0.865","0.135","0.0025"
"09-19-2024 00:00","1726704001","0.895","0.105","0.003"
"09-26-2024 00:00","1727308802","0.895","0.105","0.0025"
"10-03-2024 00:00","1727913602","0.895","0.105","0.0025"
"10-10-2024 00:00","1728518402","0.885","0.115","0.0025"
"10-17-2024 00:00","1729123202","0.875","0.125","0.002"
"10-24-2024 00:00","1729728003","0.86","0.13","0.0015"
"10-31-2024 00:00","1730332803","0.885","0.11","0.0015"
"11-04-2024 05:29","1730698142","0.91","0.09","0.0015"
