"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"03-21-2024 00:00","1710979203","0.845","0.155","0.003"
"03-28-2024 00:00","1711584003","0.845","0.155","0.0055"
"04-04-2024 00:00","1712188803","0.845","0.155","0.006"
"04-11-2024 00:00","1712793603","0.835","0.145","0.01"
"04-18-2024 00:00","1713398403","0.835","0.145","0.0105"
"04-25-2024 00:00","1714003203","0.835","0.145","0.011"
"05-02-2024 00:00","1714608003","0.835","0.145","0.011"
"05-09-2024 00:00","1715212803","0.835","0.145","0.011"
"05-16-2024 00:00","1715817604","0.825","0.175","0.0095"
"05-23-2024 00:00","1716422403","0.825","0.175","0.0095"
"05-30-2024 00:00","1717027203","0.795","0.205","0.01"
"06-06-2024 00:00","1717632003","0.765","0.22","0.01"
"06-13-2024 00:00","1718236803","0.77","0.22","0.01"
"06-20-2024 00:00","1718841604","0.77","0.22","0.0115"
"06-27-2024 00:00","1719446402","0.755","0.25","0.009"
"07-04-2024 00:00","1720051203","0.76","0.225","0.0085"
"07-11-2024 00:00","1720656003","0.665","0.33","0.008"
"07-18-2024 00:00","1721260802","0.585","0.415","0.0075"
"07-25-2024 00:00","1721865601","0.74","0.275","0.006"
"08-01-2024 00:00","1722470402","0.835","0.165","0.006"
"08-08-2024 00:00","1723075201","0.935","0.065","0.0045"
"08-15-2024 00:00","1723680002","0.93","0.065","0.0045"
"08-22-2024 00:00","1724284802","0.935","0.06","0.0025"
"08-29-2024 00:00","1724889602","0.925","0.075","0.0015"
"09-05-2024 00:00","1725494402","0.925","0.075","0.0015"
"09-12-2024 00:00","1726099202","0.925","0.075","0.0015"
"09-19-2024 00:00","1726704001","0.935","0.065","0.0015"
"09-26-2024 00:00","1727308802","0.925","0.075","0.0025"
"10-03-2024 00:00","1727913602","0.925","0.075","0.0025"
"10-10-2024 00:00","1728518402","0.905","0.095","0.0015"
"10-17-2024 00:00","1729123202","0.895","0.105","0.002"
"10-24-2024 00:00","1729728003","0.885","0.12","0.002"
"10-31-2024 00:00","1730332803","0.86","0.145","0.0015"
"11-04-2024 05:33","1730698382","0.915","0.09","0.0015"
