"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0105"
"04-11-2024 00:00","1712793603","0.905","0.085","0.012"
"04-18-2024 00:00","1713398403","0.905","0.085","0.012"
"04-25-2024 00:00","1714003203","0.905","0.085","0.013"
"05-02-2024 00:00","1714608003","0.905","0.085","0.013"
"05-09-2024 00:00","1715212803","0.905","0.075","0.013"
"05-16-2024 00:00","1715817604","0.915","0.075","0.013"
"05-23-2024 00:00","1716422403","0.935","0.065","0.012"
"05-30-2024 00:00","1717027203","0.935","0.065","0.007"
"06-06-2024 00:00","1717632003","0.945","0.055","0.007"
"06-13-2024 00:00","1718236803","0.945","0.055","0.007"
"06-20-2024 00:00","1718841604","0.945","0.055","0.007"
"06-27-2024 00:00","1719446402","0.945","0.045","0.007"
"07-04-2024 00:00","1720051203","0.965","0.023","0.0095"
"07-11-2024 00:00","1720656003","0.966","0.023","0.0095"
"07-18-2024 00:00","1721260802","0.9545","0.0235","0.01"
"07-25-2024 00:00","1721865601","0.9515","0.024","0.008"
"08-01-2024 00:00","1722470402","0.952","0.0245","0.01"
"08-08-2024 00:00","1723075201","0.9565","0.021","0.008"
"08-15-2024 00:00","1723680002","0.969","0.024","0.0075"
"08-22-2024 00:00","1724284802","0.9725","0.0255","0.005"
"08-29-2024 00:00","1724889602","0.9715","0.0265","0.003"
"09-05-2024 00:00","1725494402","0.9705","0.0285","0.0025"
"09-12-2024 00:00","1726099202","0.9755","0.0185","0.0035"
"09-19-2024 00:00","1726704001","0.9775","0.0185","0.004"
"09-26-2024 00:00","1727308802","0.979","0.016","0.0055"
"10-03-2024 00:00","1727913602","0.9835","0.0125","0.004"
"10-10-2024 00:00","1728518402","0.986","0.013","0.0015"
"10-17-2024 00:00","1729123202","0.9895","0.006","0.002"
"10-24-2024 00:00","1729728003","0.9885","0.0105","0.002"
"10-31-2024 00:00","1730332803","0.99","0.0035","0.002"
"11-04-2024 05:49","1730699342","0.9775","0.008","0.0055"
