"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-14-2024 00:00","1710374403","0.705","0.295","0.006"
"03-21-2024 00:00","1710979203","0.705","0.295","0.0065"
"03-28-2024 00:00","1711584003","0.705","0.295","0.0065"
"04-04-2024 00:00","1712188803","0.705","0.295","0.006"
"04-11-2024 00:00","1712793603","0.695","0.275","0.0095"
"04-18-2024 00:00","1713398403","0.695","0.275","0.0095"
"04-25-2024 00:00","1714003203","0.695","0.275","0.01"
"05-02-2024 00:00","1714608003","0.71","0.275","0.0105"
"05-09-2024 00:00","1715212803","0.705","0.275","0.01"
"05-16-2024 00:00","1715817604","0.75","0.235","0.01"
"05-23-2024 00:00","1716422403","0.755","0.235","0.01"
"05-30-2024 00:00","1717027203","0.745","0.235","0.01"
"06-06-2024 00:00","1717632003","0.775","0.225","0.01"
"06-13-2024 00:00","1718236803","0.775","0.22","0.01"
"06-20-2024 00:00","1718841604","0.775","0.22","0.0105"
"06-27-2024 00:00","1719446402","0.81","0.17","0.01"
"07-04-2024 00:00","1720051203","0.815","0.175","0.0095"
"07-11-2024 00:00","1720656003","0.775","0.215","0.008"
"07-18-2024 00:00","1721260802","0.805","0.18","0.0065"
"07-25-2024 00:00","1721865601","0.695","0.31","0.0045"
"08-01-2024 00:00","1722470402","0.715","0.29","0.004"
"08-08-2024 00:00","1723075201","0.68","0.32","0.0035"
"08-15-2024 00:00","1723680002","0.615","0.385","0.0055"
"08-22-2024 00:00","1724284802","0.625","0.365","0.0035"
"08-29-2024 00:00","1724889602","0.605","0.395","0.0015"
"09-05-2024 00:00","1725494402","0.605","0.395","0.0015"
"09-12-2024 00:00","1726099202","0.555","0.435","0.0015"
"09-19-2024 00:00","1726704001","0.575","0.43","0.0015"
"09-26-2024 00:00","1727308802","0.565","0.435","0.0015"
"10-03-2024 00:00","1727913602","0.575","0.425","0.0015"
"10-10-2024 00:00","1728518402","0.605","0.395","0.002"
"10-17-2024 00:00","1729123202","0.63","0.365","0.002"
"10-24-2024 00:00","1729728003","0.7","0.3","0.0015"
"10-31-2024 00:00","1730332803","0.73","0.27","0.0005"
"11-04-2024 05:36","1730698562","0.645","0.36","0.0005"
