"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"03-21-2024 00:00","1710979203","0.83","0.165","0.005"
"03-28-2024 00:00","1711584003","0.845","0.155","0.0065"
"04-04-2024 00:00","1712188803","0.845","0.155","0.007"
"04-11-2024 00:00","1712793603","0.845","0.145","0.01"
"04-18-2024 00:00","1713398403","0.835","0.145","0.01"
"04-25-2024 00:00","1714003203","0.835","0.145","0.0075"
"05-02-2024 00:00","1714608003","0.835","0.145","0.01"
"05-09-2024 00:00","1715212803","0.835","0.145","0.0095"
"05-16-2024 00:00","1715817604","0.825","0.155","0.01"
"05-23-2024 00:00","1716422403","0.83","0.155","0.014"
"05-30-2024 00:00","1717027203","0.76","0.235","0.0095"
"06-06-2024 00:00","1717632003","0.76","0.23","0.0095"
"06-13-2024 00:00","1718236803","0.765","0.23","0.0095"
"06-20-2024 00:00","1718841604","0.75","0.23","0.009"
"06-27-2024 00:00","1719446402","0.405","0.295","0.009"
"07-04-2024 00:00","1720051203","0.67","0.33","0.009"
"07-11-2024 00:00","1720656003","0.665","0.335","0.009"
"07-18-2024 00:00","1721260802","0.61","0.375","0.0075"
"07-25-2024 00:00","1721865601","0.655","0.34","0.0035"
"08-01-2024 00:00","1722470402","0.745","0.255","0.0015"
"08-08-2024 00:00","1723075201","0.795","0.18","0.0015"
"08-15-2024 00:00","1723680002","0.845","0.155","0.0025"
"08-22-2024 00:00","1724284802","0.795","0.205","0.0015"
"08-29-2024 00:00","1724889602","0.81","0.185","0.0015"
"09-05-2024 00:00","1725494402","0.835","0.165","0.0015"
"09-12-2024 00:00","1726099202","0.845","0.145","0.0015"
"09-19-2024 00:00","1726704001","0.88","0.105","0.0015"
"09-26-2024 00:00","1727308802","0.89","0.105","0.002"
"10-03-2024 00:00","1727913602","0.885","0.115","0.0015"
"10-10-2024 00:00","1728518402","0.875","0.125","0.0015"
"10-17-2024 00:00","1729123202","0.855","0.145","0.0015"
"10-24-2024 00:00","1729728003","0.825","0.175","0.002"
"10-31-2024 00:00","1730332803","0.8","0.2","0.002"
"11-04-2024 06:14","1730700843","0.855","0.15","0.0005"
