"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.905","0.085","0.009"
"04-11-2024 00:00","1712793603","0.905","0.085","0.009"
"04-18-2024 00:00","1713398403","0.905","0.085","0.009"
"04-25-2024 00:00","1714003203","0.905","0.085","0.01"
"05-02-2024 00:00","1714608003","0.905","0.085","0.0105"
"05-09-2024 00:00","1715212803","0.915","0.085","0.0095"
"05-16-2024 00:00","1715817604","0.855","0.115","0.009"
"05-23-2024 00:00","1716422403","0.86","0.125","0.009"
"05-30-2024 00:00","1717027203","0.86","0.145","0.0065"
"06-06-2024 00:00","1717632003","0.845","0.15","0.0065"
"06-13-2024 00:00","1718236803","0.835","0.155","0.012"
"06-20-2024 00:00","1718841604","0.825","0.165","0.0135"
"06-27-2024 00:00","1719446402","0.805","0.225","0.011"
"07-04-2024 00:00","1720051203","0.795","0.195","0.0095"
"07-11-2024 00:00","1720656003","0.79","0.165","0.0055"
"07-18-2024 00:00","1721260802","0.745","0.265","0.005"
"07-25-2024 00:00","1721865601","0.84","0.16","0.0025"
"08-01-2024 00:00","1722470402","0.855","0.145","0.0025"
"08-08-2024 00:00","1723075201","0.92","0.065","0.005"
"08-15-2024 00:00","1723680002","0.905","0.085","0.0035"
"08-22-2024 00:00","1724284802","0.9","0.095","0.003"
"08-29-2024 00:00","1724889602","0.905","0.095","0.002"
"09-05-2024 00:00","1725494402","0.905","0.095","0.002"
"09-12-2024 00:00","1726099202","0.905","0.095","0.0025"
"09-19-2024 00:00","1726704001","0.915","0.085","0.0025"
"09-26-2024 00:00","1727308802","0.915","0.085","0.0025"
"10-03-2024 00:00","1727913602","0.915","0.08","0.0025"
"10-10-2024 00:00","1728518402","0.915","0.085","0.0025"
"10-17-2024 00:00","1729123202","0.905","0.095","0.0015"
"10-24-2024 00:00","1729728003","0.895","0.105","0.0015"
"10-31-2024 00:00","1730332803","0.895","0.105","0.002"
"11-04-2024 05:55","1730699702","0.935","0.065","0.003"
