"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-14-2024 00:00","1710374403","0.485","0.515","0.0055"
"03-21-2024 00:00","1710979203","0.485","0.515","0.005"
"03-28-2024 00:00","1711584003","0.495","0.505","0.004"
"04-04-2024 00:00","1712188803","0.495","0.505","0.0065"
"04-11-2024 00:00","1712793603","0.475","0.525","0.0095"
"04-18-2024 00:00","1713398403","0.4","0.575","0.0075"
"04-25-2024 00:00","1714003203","0.395","0.605","0.0095"
"05-02-2024 00:00","1714608003","0.46","0.54","0.0075"
"05-09-2024 00:00","1715212803","0.465","0.505","0.0065"
"05-16-2024 00:00","1715817604","0.57","0.425","0.006"
"05-23-2024 00:00","1716422403","0.605","0.375","0.006"
"05-30-2024 00:00","1717027203","0.61","0.375","0.0095"
"06-06-2024 00:00","1717632003","0.615","0.375","0.0075"
"06-13-2024 00:00","1718236803","0.62","0.32","0.007"
"06-20-2024 00:00","1718841604","0.655","0.305","0.0065"
"06-27-2024 00:00","1719446402","0.715","0.28","0.007"
"07-04-2024 00:00","1720051203","0.715","0.255","0.007"
"07-11-2024 00:00","1720656003","0.705","0.28","0.007"
"07-18-2024 00:00","1721260802","0.775","0.225","0.0085"
"07-25-2024 00:00","1721865601","0.615","0.385","0.0045"
"08-01-2024 00:00","1722470402","0.62","0.385","0.0025"
"08-08-2024 00:00","1723075201","0.545","0.455","0.0025"
"08-15-2024 00:00","1723680002","0.485","0.515","0.0055"
"08-22-2024 00:00","1724284802","0.545","0.445","0.004"
"08-29-2024 00:00","1724889602","0.525","0.465","0.0015"
"09-05-2024 00:00","1725494402","0.51","0.475","0.0025"
"09-12-2024 00:00","1726099202","0.505","0.495","0.003"
"09-19-2024 00:00","1726704001","0.485","0.505","0.0025"
"09-26-2024 00:00","1727308802","0.495","0.505","0.0025"
"10-03-2024 00:00","1727913602","0.475","0.525","0.0035"
"10-10-2024 00:00","1728518402","0.475","0.515","0.0025"
"10-17-2024 00:00","1729123202","0.51","0.495","0.0035"
"10-24-2024 00:00","1729728003","0.625","0.37","0.0025"
"10-31-2024 00:00","1730332803","0.665","0.335","0.0015"
"11-04-2024 06:34","1730702042","0.595","0.405","0.0005"
