"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0095"
"04-11-2024 00:00","1712793603","0.9","0.085","0.0135"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0135"
"04-25-2024 00:00","1714003203","0.905","0.075","0.016"
"05-02-2024 00:00","1714608003","0.905","0.075","0.016"
"05-09-2024 00:00","1715212803","0.915","0.065","0.0115"
"05-16-2024 00:00","1715817604","0.915","0.055","0.0115"
"05-23-2024 00:00","1716422403","0.915","0.055","0.0115"
"05-30-2024 00:00","1717027203","0.91","0.075","0.012"
"06-06-2024 00:00","1717632003","0.915","0.075","0.012"
"06-13-2024 00:00","1718236803","0.905","0.075","0.0115"
"06-20-2024 00:00","1718841604","0.92","0.075","0.0105"
"06-27-2024 00:00","1719446402","0.92","0.075","0.0105"
"07-04-2024 00:00","1720051203","0.915","0.085","0.01"
"07-11-2024 00:00","1720656003","0.905","0.08","0.0095"
"07-18-2024 00:00","1721260802","0.925","0.075","0.007"
"07-25-2024 00:00","1721865601","0.935","0.065","0.002"
"08-01-2024 00:00","1722470402","0.945","0.055","0.0035"
"08-08-2024 00:00","1723075201","0.965","0.036","0.0035"
"08-15-2024 00:00","1723680002","0.972","0.025","0.0035"
"08-22-2024 00:00","1724284802","0.9765","0.022","0.003"
"08-29-2024 00:00","1724889602","0.9755","0.023","0.0035"
"09-05-2024 00:00","1725494402","0.9755","0.0205","0.0015"
"09-12-2024 00:00","1726099202","0.972","0.0255","0.0025"
"09-19-2024 00:00","1726704001","0.972","0.0235","0.0025"
"09-26-2024 00:00","1727308802","0.9705","0.0295","0.0015"
"10-03-2024 00:00","1727913602","0.971","0.0275","0.0015"
"10-10-2024 00:00","1728518402","0.964","0.0345","0.002"
"10-17-2024 00:00","1729123202","0.9665","0.035","0.002"
"10-24-2024 00:00","1729728003","0.968","0.0305","0.0015"
"10-31-2024 00:00","1730332803","0.9635","0.0335","0.0005"
"11-04-2024 06:15","1730700903","0.9775","0.0235","0.0005"
