"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.011"
"04-11-2024 00:00","1712793603","0.895","0.085","0.0105"
"04-18-2024 00:00","1713398403","0.885","0.085","0.0125"
"04-25-2024 00:00","1714003203","0.885","0.085","0.0195"
"05-02-2024 00:00","1714608003","0.885","0.085","0.0195"
"05-09-2024 00:00","1715212803","0.885","0.075","0.019"
"05-16-2024 00:00","1715817604","0.885","0.075","0.021"
"05-23-2024 00:00","1716422403","0.895","0.075","0.0345"
"05-30-2024 00:00","1717027203","0.885","0.075","0.0355"
"06-06-2024 00:00","1717632003","0.895","0.065","0.035"
"06-13-2024 00:00","1718236803","0.895","0.07","0.0365"
"06-20-2024 00:00","1718841604","0.895","0.07","0.036"
"06-27-2024 00:00","1719446402","0.895","0.07","0.0405"
"07-04-2024 00:00","1720051203","0.905","0.06","0.0405"
"07-11-2024 00:00","1720656003","0.905","0.055","0.041"
"07-18-2024 00:00","1721260802","0.94","0.05","0.017"
"07-25-2024 00:00","1721865601","0.935","0.055","0.019"
"08-01-2024 00:00","1722470402","0.94","0.055","0.0185"
"08-08-2024 00:00","1723075201","0.935","0.065","0.008"
"08-15-2024 00:00","1723680002","0.865","0.125","0.0025"
"08-22-2024 00:00","1724284802","0.875","0.125","0.0025"
"08-29-2024 00:00","1724889602","0.895","0.09","0.0015"
"09-05-2024 00:00","1725494402","0.915","0.075","0.0015"
"09-12-2024 00:00","1726099202","0.91","0.085","0.002"
"09-19-2024 00:00","1726704001","0.915","0.085","0.002"
"09-26-2024 00:00","1727308802","0.925","0.075","0.002"
"10-03-2024 00:00","1727913602","0.925","0.075","0.002"
"10-10-2024 00:00","1728518402","0.915","0.075","0.002"
"10-17-2024 00:00","1729123202","0.92","0.065","0.002"
"10-24-2024 00:00","1729728003","0.935","0.06","0.0025"
"10-31-2024 00:00","1730332803","0.945","0.05","0.0025"
"11-04-2024 06:17","1730701022","0.895","0.095","0.004"
