"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0075"
"04-11-2024 00:00","1712793603","0.915","0.075","0.0095"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0095"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0095"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0095"
"05-09-2024 00:00","1715212803","0.915","0.065","0.0095"
"05-16-2024 00:00","1715817604","0.915","0.065","0.0095"
"05-23-2024 00:00","1716422403","0.915","0.065","0.009"
"05-30-2024 00:00","1717027203","0.915","0.065","0.009"
"06-06-2024 00:00","1717632003","0.915","0.065","0.009"
"06-13-2024 00:00","1718236803","0.915","0.065","0.009"
"06-20-2024 00:00","1718841604","0.915","0.065","0.009"
"06-27-2024 00:00","1719446402","0.915","0.065","0.009"
"07-04-2024 00:00","1720051203","0.925","0.055","0.009"
"07-11-2024 00:00","1720656003","0.925","0.055","0.009"
"07-18-2024 00:00","1721260802","0.955","0.045","0.008"
"07-25-2024 00:00","1721865601","0.955","0.045","0.006"
"08-01-2024 00:00","1722470402","0.955","0.045","0.0055"
"08-08-2024 00:00","1723075201","0.955","0.04","0.005"
"08-15-2024 00:00","1723680002","0.96","0.035","0.0045"
"08-22-2024 00:00","1724284802","0.965","0.0345","0.0055"
"08-29-2024 00:00","1724889602","0.964","0.0345","0.003"
"09-05-2024 00:00","1725494402","0.965","0.0325","0.003"
"09-12-2024 00:00","1726099202","0.972","0.024","0.0025"
"09-19-2024 00:00","1726704001","0.973","0.0235","0.003"
"09-26-2024 00:00","1727308802","0.9725","0.024","0.003"
"10-03-2024 00:00","1727913602","0.9745","0.0225","0.0035"
"10-10-2024 00:00","1728518402","0.979","0.017","0.0035"
"10-17-2024 00:00","1729123202","0.9715","0.015","0.003"
"10-24-2024 00:00","1729728003","0.979","0.0115","0.002"
"10-31-2024 00:00","1730332803","0.975","0.014","0.0055"
"11-04-2024 06:31","1730701862","0.977","0.02","0.0015"
