"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-21-2024 00:00","1710979203","0.89","0.11","0.005"
"03-28-2024 00:00","1711584003","0.895","0.115","0.0055"
"04-04-2024 00:00","1712188803","0.885","0.105","0.008"
"04-11-2024 00:00","1712793603","0.875","0.115","0.011"
"04-18-2024 00:00","1713398403","0.875","0.115","0.0115"
"04-25-2024 00:00","1714003203","0.875","0.115","0.0115"
"05-02-2024 00:00","1714608003","0.875","0.115","0.0115"
"05-09-2024 00:00","1715212803","0.895","0.105","0.01"
"05-16-2024 00:00","1715817604","0.895","0.105","0.01"
"05-23-2024 00:00","1716422403","0.895","0.105","0.01"
"05-30-2024 00:00","1717027203","0.885","0.105","0.011"
"06-06-2024 00:00","1717632003","0.89","0.105","0.0105"
"06-13-2024 00:00","1718236803","0.895","0.105","0.0105"
"06-20-2024 00:00","1718841604","0.89","0.105","0.0125"
"06-27-2024 00:00","1719446402","0.895","0.105","0.0105"
"07-04-2024 00:00","1720051203","0.895","0.105","0.01"
"07-11-2024 00:00","1720656003","0.905","0.095","0.0095"
"07-18-2024 00:00","1721260802","0.915","0.085","0.0065"
"07-25-2024 00:00","1721865601","0.915","0.085","0.0025"
"08-01-2024 00:00","1722470402","0.895","0.105","0.0045"
"08-08-2024 00:00","1723075201","0.895","0.105","0.0025"
"08-15-2024 00:00","1723680002","0.875","0.12","0.0025"
"08-22-2024 00:00","1724284802","0.865","0.14","0.004"
"08-29-2024 00:00","1724889602","0.845","0.155","0.0015"
"09-05-2024 00:00","1725494402","0.88","0.12","0.0015"
"09-12-2024 00:00","1726099202","0.855","0.145","0.0015"
"09-19-2024 00:00","1726704001","0.875","0.125","0.0015"
"09-26-2024 00:00","1727308802","0.88","0.115","0.0015"
"10-03-2024 00:00","1727913602","0.88","0.115","0.0035"
"10-10-2024 00:00","1728518402","0.895","0.105","0.0015"
"10-17-2024 00:00","1729123202","0.905","0.095","0.002"
"10-24-2024 00:00","1729728003","0.94","0.065","0.0015"
"10-31-2024 00:00","1730332803","0.945","0.055","0.0005"
"11-04-2024 05:44","1730699042","0.915","0.08","0.0005"
