"Date (UTC)","Timestamp (UTC)","Donald Trump","Other","Kamala Harris"
"04-04-2024 00:00","1712188803","0.915","0.007","0.085"
"04-11-2024 00:00","1712793603","0.905","0.011","0.075"
"04-18-2024 00:00","1713398403","0.905","0.011","0.075"
"04-25-2024 00:00","1714003203","0.905","0.0115","0.075"
"05-02-2024 00:00","1714608003","0.905","0.0115","0.075"
"05-09-2024 00:00","1715212803","0.905","0.012","0.065"
"05-16-2024 00:00","1715817604","0.905","0.012","0.065"
"05-23-2024 00:00","1716422403","0.94","0.0115","0.055"
"05-30-2024 00:00","1717027203","0.945","0.012","0.055"
"06-06-2024 00:00","1717632003","0.955","0.0115","0.045"
"06-13-2024 00:00","1718236803","0.955","0.011","0.045"
"06-20-2024 00:00","1718841604","0.955","0.011","0.045"
"06-27-2024 00:00","1719446402","0.95","0.011","0.045"
"07-04-2024 00:00","1720051203","0.95","0.0085","0.035"
"07-11-2024 00:00","1720656003","0.95","0.01","0.038"
"07-18-2024 00:00","1721260802","0.935","0.012","0.043"
"07-25-2024 00:00","1721865601","0.935","0.011","0.0435"
"08-01-2024 00:00","1722470402","0.935","0.014","0.0465"
"08-08-2024 00:00","1723075201","0.965","0.009","0.043"
"08-15-2024 00:00","1723680002","0.9605","0.0055","0.034"
"08-22-2024 00:00","1724284802","0.9585","0.0125","0.0335"
"08-29-2024 00:00","1724889602","0.963","0.009","0.0245"
"09-05-2024 00:00","1725494402","0.9675","0.0085","0.0235"
"09-12-2024 00:00","1726099202","0.9715","0.008","0.0225"
"09-19-2024 00:00","1726704001","0.9745","0.0065","0.022"
"09-26-2024 00:00","1727308802","0.9735","0.006","0.022"
"10-03-2024 00:00","1727913602","0.974","0.0045","0.0175"
"10-10-2024 00:00","1728518402","0.979","0.0065","0.013"
"10-17-2024 00:00","1729123202","0.971","0.0035","0.0105"
"10-24-2024 00:00","1729728003","0.9765","0.0075","0.008"
"10-31-2024 00:00","1730332803","0.9795","0.007","0.008"
"11-04-2024 06:22","1730701322","0.9815","0.0095","0.0045"
