"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.885","0.12","0.006"
"04-11-2024 00:00","1712793603","0.875","0.11","0.01"
"04-18-2024 00:00","1713398403","0.875","0.1","0.011"
"04-25-2024 00:00","1714003203","0.875","0.105","0.019"
"05-02-2024 00:00","1714608003","0.875","0.105","0.019"
"05-09-2024 00:00","1715212803","0.885","0.105","0.018"
"05-16-2024 00:00","1715817604","0.855","0.135","0.0105"
"05-23-2024 00:00","1716422403","0.855","0.135","0.0095"
"05-30-2024 00:00","1717027203","0.835","0.165","0.0095"
"06-06-2024 00:00","1717632003","0.805","0.195","0.009"
"06-13-2024 00:00","1718236803","0.755","0.215","0.0085"
"06-20-2024 00:00","1718841604","0.765","0.235","0.0085"
"06-27-2024 00:00","1719446402","0.715","0.295","0.0085"
"07-04-2024 00:00","1720051203","0.725","0.265","0.0055"
"07-11-2024 00:00","1720656003","0.69","0.305","0.005"
"07-18-2024 00:00","1721260802","0.685","0.3","0.004"
"07-25-2024 00:00","1721865601","0.74","0.245","0.003"
"08-01-2024 00:00","1722470402","0.78","0.22","0.0035"
"08-08-2024 00:00","1723075201","0.835","0.165","0.0035"
"08-15-2024 00:00","1723680002","0.875","0.125","0.0025"
"08-22-2024 00:00","1724284802","0.845","0.155","0.0025"
"08-29-2024 00:00","1724889602","0.845","0.155","0.0015"
"09-05-2024 00:00","1725494402","0.845","0.155","0.002"
"09-12-2024 00:00","1726099202","0.885","0.115","0.0015"
"09-19-2024 00:00","1726704001","0.905","0.085","0.002"
"09-26-2024 00:00","1727308802","0.885","0.115","0.0015"
"10-03-2024 00:00","1727913602","0.875","0.13","0.0015"
"10-10-2024 00:00","1728518402","0.885","0.115","0.0015"
"10-17-2024 00:00","1729123202","0.865","0.14","0.0015"
"10-24-2024 00:00","1729728003","0.835","0.17","0.0005"
"10-31-2024 00:00","1730332803","0.835","0.165","0.0005"
"11-04-2024 06:24","1730701442","0.885","0.12","0.0005"
