"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.915","0.085","0.0085"
"04-11-2024 00:00","1712793603","0.905","0.075","0.0115"
"04-18-2024 00:00","1713398403","0.905","0.075","0.0115"
"04-25-2024 00:00","1714003203","0.905","0.075","0.0115"
"05-02-2024 00:00","1714608003","0.905","0.065","0.0115"
"05-09-2024 00:00","1715212803","0.915","0.065","0.011"
"05-16-2024 00:00","1715817604","0.915","0.065","0.0115"
"05-23-2024 00:00","1716422403","0.915","0.06","0.0105"
"05-30-2024 00:00","1717027203","0.915","0.06","0.01"
"06-06-2024 00:00","1717632003","0.915","0.055","0.01"
"06-13-2024 00:00","1718236803","0.915","0.055","0.01"
"06-20-2024 00:00","1718841604","0.915","0.055","0.01"
"06-27-2024 00:00","1719446402","0.925","0.055","0.01"
"07-04-2024 00:00","1720051203","0.945","0.025","0.0095"
"07-11-2024 00:00","1720656003","0.95","0.034","0.009"
"07-18-2024 00:00","1721260802","0.94","0.0585","0.008"
"07-25-2024 00:00","1721865601","0.94","0.0615","0.0055"
"08-01-2024 00:00","1722470402","0.94","0.055","0.007"
"08-08-2024 00:00","1723075201","0.96","0.028","0.0085"
"08-15-2024 00:00","1723680002","0.9635","0.0305","0.0065"
"08-22-2024 00:00","1724284802","0.9715","0.0265","0.005"
"08-29-2024 00:00","1724889602","0.973","0.026","0.003"
"09-05-2024 00:00","1725494402","0.9735","0.0215","0.0025"
"09-12-2024 00:00","1726099202","0.974","0.023","0.005"
"09-19-2024 00:00","1726704001","0.974","0.0215","0.004"
"09-26-2024 00:00","1727308802","0.977","0.0175","0.004"
"10-03-2024 00:00","1727913602","0.979","0.0145","0.0025"
"10-10-2024 00:00","1728518402","0.983","0.012","0.0015"
"10-17-2024 00:00","1729123202","0.9825","0.0125","0.0025"
"10-24-2024 00:00","1729728003","0.987","0.0145","0.002"
"10-31-2024 00:00","1730332803","0.982","0.016","0.0035"
"11-04-2024 06:36","1730702162","0.986","0.0135","0.0015"
