"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-04-2024 00:00","1712188803","0.905","0.095","0.0045"
"04-11-2024 00:00","1712793603","0.905","0.075","0.0085"
"04-18-2024 00:00","1713398403","0.905","0.075","0.009"
"04-25-2024 00:00","1714003203","0.905","0.075","0.009"
"05-02-2024 00:00","1714608003","0.905","0.075","0.0095"
"05-09-2024 00:00","1715212803","0.925","0.065","0.0095"
"05-16-2024 00:00","1715817604","0.925","0.065","0.0095"
"05-23-2024 00:00","1716422403","0.925","0.065","0.0095"
"05-30-2024 00:00","1717027203","0.925","0.065","0.0095"
"06-06-2024 00:00","1717632003","0.925","0.065","0.0095"
"06-13-2024 00:00","1718236803","0.925","0.065","0.0085"
"06-20-2024 00:00","1718841604","0.925","0.065","0.008"
"06-27-2024 00:00","1719446402","0.925","0.055","0.008"
"07-04-2024 00:00","1720051203","0.967","0.0355","0.0055"
"07-11-2024 00:00","1720656003","0.9625","0.0375","0.0045"
"07-18-2024 00:00","1721260802","0.9435","0.057","0.0025"
"07-25-2024 00:00","1721865601","0.934","0.041","0.0055"
"08-01-2024 00:00","1722470402","0.937","0.045","0.0065"
"08-08-2024 00:00","1723075201","0.9575","0.0305","0.0045"
"08-15-2024 00:00","1723680002","0.968","0.0315","0.0045"
"08-22-2024 00:00","1724284802","0.964","0.032","0.0035"
"08-29-2024 00:00","1724889602","0.9645","0.0265","0.0015"
"09-05-2024 00:00","1725494402","0.965","0.026","0.0015"
"09-12-2024 00:00","1726099202","0.9615","0.026","0.002"
"09-19-2024 00:00","1726704001","0.9645","0.018","0.0045"
"09-26-2024 00:00","1727308802","0.9725","0.0175","0.0045"
"10-03-2024 00:00","1727913602","0.9725","0.0155","0.005"
"10-10-2024 00:00","1728518402","0.9805","0.0075","0.0045"
"10-17-2024 00:00","1729123202","0.978","0.012","0.0045"
"10-24-2024 00:00","1729728003","0.985","0.0145","0.004"
"10-31-2024 00:00","1730332803","0.9805","0.0175","0.0025"
"11-04-2024 06:26","1730701562","0.986","0.013","0.0025"
