"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"03-14-2024 00:00","1710374403","0.495","0.505","0.006"
"03-21-2024 00:00","1710979203","0.495","0.505","0.0065"
"03-28-2024 00:00","1711584003","0.495","0.505","0.007"
"04-04-2024 00:00","1712188803","0.495","0.505","0.005"
"04-11-2024 00:00","1712793603","0.525","0.465","0.0115"
"04-18-2024 00:00","1713398403","0.515","0.465","0.0115"
"04-25-2024 00:00","1714003203","0.515","0.465","0.0125"
"05-02-2024 00:00","1714608003","0.515","0.465","0.0125"
"05-09-2024 00:00","1715212803","0.545","0.445","0.0125"
"05-16-2024 00:00","1715817604","0.525","0.445","0.0175"
"05-23-2024 00:00","1716422403","0.525","0.445","0.021"
"05-30-2024 00:00","1717027203","0.525","0.445","0.0235"
"06-06-2024 00:00","1717632003","0.515","0.455","0.0235"
"06-13-2024 00:00","1718236803","0.505","0.455","0.0235"
"06-20-2024 00:00","1718841604","0.505","0.465","0.0245"
"06-27-2024 00:00","1719446402","0.485","0.49","0.021"
"07-04-2024 00:00","1720051203","0.435","0.555","0.02"
"07-11-2024 00:00","1720656003","0.435","0.555","0.011"
"07-18-2024 00:00","1721260802","0.365","0.625","0.01"
"07-25-2024 00:00","1721865601","0.485","0.505","0.004"
"08-01-2024 00:00","1722470402","0.455","0.545","0.0025"
"08-08-2024 00:00","1723075201","0.515","0.49","0.0025"
"08-15-2024 00:00","1723680002","0.585","0.405","0.0025"
"08-22-2024 00:00","1724284802","0.555","0.445","0.0035"
"08-29-2024 00:00","1724889602","0.565","0.435","0.0015"
"09-05-2024 00:00","1725494402","0.555","0.425","0.002"
"09-12-2024 00:00","1726099202","0.585","0.405","0.0025"
"09-19-2024 00:00","1726704001","0.605","0.395","0.002"
"09-26-2024 00:00","1727308802","0.565","0.435","0.002"
"10-03-2024 00:00","1727913602","0.575","0.43","0.002"
"10-10-2024 00:00","1728518402","0.485","0.515","0.0015"
"10-17-2024 00:00","1729123202","0.455","0.54","0.0015"
"10-24-2024 00:00","1729728003","0.425","0.58","0.0015"
"10-31-2024 00:00","1730332803","0.455","0.545","0.0005"
"11-04-2024 06:27","1730701622","0.585","0.405","0.0005"
