ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,9/22/2016 12:00:00 AM,$0.66,$0.67,$0.64,$0.66,5867
Rubio,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bush,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Christie ,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/22/2016 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,937
Bloomberg,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Palin,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Paul,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Romney,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Malley,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Graham,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Huckabee,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cruz,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Walker,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Fiorina,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Perry,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Santorum,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Carson,9/22/2016 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2949
Ryan,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,165
Jindal,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,9/22/2016 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1871
de Blasio,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Webb,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pataki,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/22/2016 12:00:00 AM,$0.35,$0.36,$0.34,$0.34,5810
Johnson,9/22/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,20951
Stein,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
McMullin,9/22/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kaine,9/22/2016 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,2232
Clinton,9/23/2016 12:00:00 AM,$0.66,$0.66,$0.64,$0.65,3934
Rubio,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bush,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Christie ,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/23/2016 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,610
Bloomberg,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Palin,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Paul,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Romney,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Malley,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Graham,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Huckabee,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cruz,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Walker,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Fiorina,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Perry,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Santorum,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Carson,9/23/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,864
Ryan,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jindal,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,9/23/2016 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,647
de Blasio,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Webb,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pataki,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/23/2016 12:00:00 AM,$0.34,$0.37,$0.34,$0.36,7247
Johnson,9/23/2016 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,977
Stein,9/23/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
