State,Candidate,Average_Percentage
AZ,Kamala Harris,0.47200779275717547
AZ,Donald Trump,0.5279922072428245
CA,Kamala Harris,0.6070575870157671
CA,Donald Trump,0.39294241298423294
CO,Kamala Harris,0.5564540026850342
CO,Donald Trump,0.4435459973149658
FL,Kamala Harris,0.4338252662068795
FL,Donald Trump,0.5661747337931204
GA,Kamala Harris,0.4889566326887971
GA,Donald Trump,0.5110433673112029
IN,Kamala Harris,0.40250746128681686
IN,Donald Trump,0.5974925387131831
ME,Kamala Harris,0.5364066914086302
ME,Donald Trump,0.4635933085913698
MD,Kamala Harris,0.6406407723287731
MD,Donald Trump,0.35935922767122686
MA,Kamala Harris,0.6261076191519747
MA,Donald Trump,0.37389238084802534
MI,Kamala Harris,0.49275137194042373
MI,Donald Trump,0.5072486280595763
MN,Kamala Harris,0.521717336463488
MN,Donald Trump,0.47828266353651205
MO,Kamala Harris,0.4064425668964642
MO,Donald Trump,0.5935574331035358
MT,Kamala Harris,0.3971014393467106
MT,Donald Trump,0.6028985606532894
NE,Kamala Harris,0.39380593076960746
NE,Donald Trump,0.6061940692303925
NV,Kamala Harris,0.48420491045741493
NV,Donald Trump,0.5157950895425851
NH,Kamala Harris,0.5141038749096772
NH,Donald Trump,0.48589612509032276
NM,Kamala Harris,0.5307076279078017
NM,Donald Trump,0.4692923720921983
NY,Kamala Harris,0.5588381683957966
NY,Donald Trump,0.4411618316042034
NC,Kamala Harris,0.48364406305554797
NC,Donald Trump,0.516355936944452
OH,Kamala Harris,0.44268431712254286
OH,Donald Trump,0.5573156828774571
PA,Kamala Harris,0.49117389687729784
PA,Donald Trump,0.5088261031227022
SC,Kamala Harris,0.40938317386480927
SC,Donald Trump,0.5906168261351907
TX,Kamala Harris,0.4300946770558513
TX,Donald Trump,0.5699053229441486
UT,Kamala Harris,0.38947634559402816
UT,Donald Trump,0.6105236544059718
VA,Kamala Harris,0.5296325648627487
VA,Donald Trump,0.4703674351372513
WA,Kamala Harris,0.5960760088459265
WA,Donald Trump,0.4039239911540735
WI,Kamala Harris,0.4955899711543975
WI,Donald Trump,0.5044100288456025
